AuthorAffiliation_clean,canonical_affiliation_en,canonical_method,canonical_match_score
"100 Hamilton Ave Suite 300 Palo Alto CA 94301, USA","100 Hamilton Ave Suite 300 Palo Alto CA 94301, USA",exact,100.0
"11 Wild Plum Court, Stafford, CA, USA","11 Wild Plum Court, Stafford, CA, USA",exact,100.0
"3iap, China","3iap, China",exact,100.0
"3iap, USA","3iap, USA",exact,100.0
"A Mitsubishi Electric Research Lab, MERL","A Mitsubishi Electric Research Lab, MERL",exact,100.0
"AG Graphische Datenverarbeitung and Computergeometrie, Fachbereich Informatik, Universität Kaiserslautern, Germany","AG Graphische Datenverarbeitung and Computergeometrie, Fachbereich Informatik, Universität Kaiserslautern, Germany",exact,100.0
"AG Graphische Datenverarbeitung und Computergeometrie, FB Informatik, University of Kaiserslautern, Germany","AG Graphische Datenverarbeitung und Computergeometrie, FB Informatik, University of Kaiserslautern, Germany",exact,100.0
"AGFA, Wilmington, MA, USA","AGFA, Wilmington, MA, USA",exact,100.0
"AGFA-Gevaert N. V., Canada","AGFA-Gevaert N. V., Canada",exact,100.0
"ALICE Group, INRIA, Lorraine, Nancy, France","ALICE Group, INRIA, Lorraine, Nancy, France",exact,100.0
"AMTI, NASA Ames Research Center, USA","AMTI, NASA Ames Research Center, USA",exact,100.0
"ART COM e.V., Berlin, Germany","ART COM e.V., Berlin, Germany",exact,100.0
AT,AT,identity,57.1
"AT&T Laboratories, Information Visualization Research, Florham Park, NJ, USA","AT&T Laboratories, Information Visualization Research, Florham Park, NJ, USA",exact,100.0
AT&T Labs,AT&T Labs,exact,100.0
AT&T Labs and University of Arizona,AT&T Labs and University of Arizona,exact,100.0
"AT&T Research, USA","AT&T Research, USA",exact,100.0
"AT&T Shannon Lab., Florham Park, NJ, USA","AT&T Shannon Lab., Florham Park, NJ, USA",exact,100.0
"AT&T, USA","AT and T, USA",exact,100.0
"ATLAS Institute, University of Colorado, Boulder, USA","ATLAS Institute, University of Colorado, Boulder, USA",exact,100.0
"ATS Intelligent Discovery, Silverdale, WA, USA","ATS Intelligent Discovery, Silverdale, WA, USA",exact,100.0
"ATS Intelligent Discovery, USA","ATS Intelligent Discovery, USA",exact,100.0
"AVL AST d.o.o., Zagreb, Croatia","AVL AST d.o.o., Zagreb, Croatia",exact,100.0
"AVL AST, Zagreb, Croatia","AVL AST, Zagreb, Croatia",exact,100.0
"AVL, Graz, Austria","AVL, Graz, Austria",exact,100.0
"AVL-AST Zagreb, Croatia","AVL AST, Zagreb, Croatia",exact,100.0
"AVL-AST d.o.o., Zagreb, Croatia","AVL AST d.o.o., Zagreb, Croatia",exact,100.0
"AVL-AST doo, Zagreb, Croatia","AVL-AST doo, Zagreb, Croatia",exact,100.0
"AVL-AST, Zagreb, Croatia","AVL AST, Zagreb, Croatia",exact,100.0
"Aarhus Universitet, Aarhus, DK","Aarhus Universitet, Aarhus, DK",exact,100.0
"Aarhus University in Aarhus, Denmark","Aarhus University in Aarhus, Denmark",exact,100.0
"Aarhus University, Aarhus, Denmark","Aarhus University, Aarhus, Denmark",exact,100.0
"Aarhus University, Denmark","Aarhus University, Denmark",exact,100.0
"Aberdeen Proving Ground, Army Research Laboratory, MD, USA","Aberdeen Proving Ground, Army Research Laboratory, MD, USA",identity,66.1
"Aberystwyth University, UK","Aberystwyth University, UK",exact,100.0
"Academy of Art and Design, Tsinghua University","Academy of Art and Design, Tsinghua University",exact,100.0
"Accenture Technology Laboratories, Palo Alto, CA, USA","Accenture Technology Laboratories, Palo Alto, CA, USA",exact,100.0
"Adaptive Visualisation Lab, Monash University","Adaptive Visualisation Lab, Monash University",exact,100.0
Adobe Research,Adobe Research,exact,100.0
"Adobe Research, Seattle, WA, USA","Adobe Research, Seattle, WA, USA",exact,100.0
"Adobe Research, USA","Adobe Research, USA",exact,100.0
"Adobe Research, United States","Adobe Research, United States",exact,100.0
Adobe Systems Inc,Adobe Systems Inc.,exact,100.0
"Adobe Systems, Inc., USA","Adobe Systems, Inc., USA",exact,100.0
"Advanced Computer Vision GmbH-ACV, Vienna, Austria","Advanced Computer Vision GmbH-ACV, Vienna, Austria",exact,100.0
