author_id,institution_id,n_papers_with_inst,display_name,ror,country_code,city,region,latitude,longitude,geo_cluster
A1044056533,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A1208706714,I2801410363,1,Stony Brook University Hospital,https://ror.org/05wyq9e07,US,Stony Brook,New York,40.909690856933594,-73.11578369140625,1
A130811099,I1283280774,1,Brigham and Women's Hospital,https://ror.org/04b6nzv94,US,Boston,,42.358428955078125,-71.05976867675781,1
A1495897400,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A1847723389,I2801851002,1,Harvard University Press,https://ror.org/006v7bf86,US,Cambridge,Massachusetts,42.38301467895508,-71.12705993652344,1
A1937654608,I154099455,1,Shandong University,https://ror.org/0207yh398,CN,Jinan,,36.668331146240234,116.99722290039062,2
A1975774854,I201448701,1,University of Washington,https://ror.org/00cvxb145,US,Seattle,,47.60620880126953,-122.33206939697266,3
A1977048702,I151746483,1,University of Waterloo,https://ror.org/01aff2v68,CA,Waterloo,,43.466800689697266,-80.51638793945312,1
A1983829605,I150229711,1,University of Electronic Science and Technology of China,https://ror.org/04qr3zq92,CN,Chengdu,,30.666669845581055,104.0666732788086,4
A1984358069,I200769079,3,Hong Kong University of Science and Technology,https://ror.org/00q4vv597,HK,Hong Kong,,22.2783203125,114.17469024658205,5
A1986027970,I98358874,1,Delft University of Technology,https://ror.org/02e2c7k09,NL,Delft,,52.00667190551758,4.355559825897217,6
A1989027630,I4210113369,1,Microsoft Research Asia (China),https://ror.org/0300m5276,CN,Beijing,,39.907501220703125,116.39723205566406,7
A1992769770,I76130692,2,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A2004349175,I83019370,1,Eindhoven University of Technology,https://ror.org/02c2kyt77,NL,Eindhoven,,51.44083023071289,5.477779865264893,6
A2008440735,I1283280774,1,Brigham and Women's Hospital,https://ror.org/04b6nzv94,US,Boston,,42.358428955078125,-71.05976867675781,1
A2008458290,I98358874,1,Delft University of Technology,https://ror.org/02e2c7k09,NL,Delft,,52.00667190551758,4.355559825897217,6
A2008775589,I66946132,1,"University of Maryland, College Park",https://ror.org/047s2c258,US,College Park,,38.98067092895508,-76.93692016601562,1
A2010128826,I114832834,1,Tulane University,https://ror.org/04vmvtb21,US,New Orleans,,29.95465087890625,-90.0750732421875,1
A2012898261,I150229711,1,University of Electronic Science and Technology of China,https://ror.org/04qr3zq92,CN,Chengdu,,30.666669845581055,104.0666732788086,4
