author_id,openalex_author_id_url,display_name,orcid,name_variants,source
A5005322254,https://openalex.org/A5005322254,M. G. Bostock,https://orcid.org/0000-0003-1172-7240,"[""M. G. Bostock""]",openalex
A5091278432,https://openalex.org/A5091278432,V. Ogievetsky,,"[""V. Ogievetsky""]",openalex
A5090570042,https://openalex.org/A5090570042,Jeffrey Heer,https://orcid.org/0000-0002-6175-1655,"[""Jeffrey Heer""]",openalex
A5031057530,https://openalex.org/A5031057530,Alexander Lex,https://orcid.org/0000-0001-6930-5468,"[""Alexander Lex""]",openalex
A5066335313,https://openalex.org/A5066335313,Nils Gehlenborg,https://orcid.org/0000-0003-0327-8297,"[""Nils Gehlenborg""]",openalex
A5084459196,https://openalex.org/A5084459196,Hendrik Strobelt,https://orcid.org/0000-0002-8995-1683,"[""Hendrik Strobelt""]",openalex
A5005306821,https://openalex.org/A5005306821,Romain Vuillemot,https://orcid.org/0000-0003-1447-6926,"[""Romain Vuillemot""]",openalex
A5043151044,https://openalex.org/A5043151044,Hanspeter Pfister,https://orcid.org/0000-0002-3620-2582,"[""Hanspeter Pfister""]",openalex
A5037053327,https://openalex.org/A5037053327,Edward Segel,,"[""Edward Segel""]",openalex
A5043973007,https://openalex.org/A5043973007,Danny Holten,,"[""Danny Holten""]",openalex
A5053349373,https://openalex.org/A5053349373,Ji Soo Yi,https://orcid.org/0000-0002-7545-3878,"[""Ji Soo Yi""]",openalex
A5088085186,https://openalex.org/A5088085186,Younah Kang,https://orcid.org/0000-0003-4981-6329,"[""Younah Kang""]",openalex
A5082668404,https://openalex.org/A5082668404,John Stasko,https://orcid.org/0000-0003-4129-7659,"[""John Stasko""]",openalex
A5114256927,https://openalex.org/A5114256927,Julie A. Jacko,,"[""Julie A. Jacko""]",openalex
A5079916657,https://openalex.org/A5079916657,Tamara Munzner,https://orcid.org/0000-0002-3294-3869,"[""Tamara Munzner""]",openalex
A5077783676,https://openalex.org/A5077783676,Arvind Satyanarayan,https://orcid.org/0000-0001-5564-635X,"[""Arvind Satyanarayan""]",openalex
A5006087928,https://openalex.org/A5006087928,Dominik Moritz,https://orcid.org/0000-0002-3110-1053,"[""Dominik Moritz""]",openalex
A5070061774,https://openalex.org/A5070061774,Kanit Wongsuphasawat,https://orcid.org/0000-0001-7231-279X,"[""Kanit Wongsuphasawat""]",openalex
A5037110552,https://openalex.org/A5037110552,Michael Sedlmair,https://orcid.org/0000-0001-7048-9292,"[""Michael Sedlmair""]",openalex
A5008627422,https://openalex.org/A5008627422,Miriah Meyer,https://orcid.org/0000-0002-8971-6245,"[""Miriah Meyer""]",openalex
A5104038125,https://openalex.org/A5104038125,Matthew Brehmer,https://orcid.org/0000-0001-5524-2291,"[""Matthew Brehmer""]",openalex
A5059594867,https://openalex.org/A5059594867,Fernanda Viégas,https://orcid.org/0000-0002-4951-4008,"[""Fernanda Viégas""]",openalex
A5039276358,https://openalex.org/A5039276358,Martin Wattenberg,https://orcid.org/0000-0003-0904-4862,"[""Martin Wattenberg""]",openalex
A5076532363,https://openalex.org/A5076532363,Frank van Ham,,"[""Frank van Ham""]",openalex
A5076584054,https://openalex.org/A5076584054,Jesse Kriss,,"[""Jesse Kriss""]",openalex
A5103711055,https://openalex.org/A5103711055,Matt McKeon,,"[""Matt McKeon""]",openalex
A5085342992,https://openalex.org/A5085342992,Peter Lindström,https://orcid.org/0000-0003-3817-4199,"[""Peter Lindström""]",openalex
A5109559450,https://openalex.org/A5109559450,B. Johnson,,"[""B. Johnson""]",openalex
A5052623072,https://openalex.org/A5052623072,Ben Shneiderman,https://orcid.org/0000-0002-8298-1097,"[""Ben Shneiderman""]",openalex
A5079183364,https://openalex.org/A5079183364,Alfred Inselberg,,"[""Alfred Inselberg""]",openalex
A5083885019,https://openalex.org/A5083885019,Bernard Dimsdale,,"[""Bernard Dimsdale""]",openalex
A5065943691,https://openalex.org/A5065943691,Michelle A. Borkin,https://orcid.org/0000-0002-8016-355X,"[""Michelle A. Borkin""]",openalex
A5088763686,https://openalex.org/A5088763686,Azalea A. Vo,,"[""Azalea A. Vo""]",openalex
A5011292436,https://openalex.org/A5011292436,Zoya Bylinskii,https://orcid.org/0000-0002-9746-9109,"[""Zoya Bylinskii""]",openalex
A5017456911,https://openalex.org/A5017456911,Phillip Isola,,"[""Phillip Isola""]",openalex
A5056953351,https://openalex.org/A5056953351,Shashank Sunkavalli,,"[""Shashank Sunkavalli""]",openalex
A5021257546,https://openalex.org/A5021257546,Aude Oliva,,"[""Aude Oliva""]",openalex
A5110827633,https://openalex.org/A5110827633,Nathalie Henry,,"[""Nathalie Henry""]",openalex
A5060725233,https://openalex.org/A5060725233,Jean‐Daniel Fekete,https://orcid.org/0000-0003-3770-8726,"[""Jean‐Daniel Fekete""]",openalex
A5056211536,https://openalex.org/A5056211536,Michael J. McGuffin,https://orcid.org/0000-0001-7782-5754,"[""Michael J. McGuffin""]",openalex
A5065868869,https://openalex.org/A5065868869,Nivan Ferreira,https://orcid.org/0000-0001-6631-4609,"[""Nivan Ferreira""]",openalex
A5029317616,https://openalex.org/A5029317616,Jorge Poco,https://orcid.org/0000-0001-9096-6287,"[""Jorge Poco""]",openalex
A5064720873,https://openalex.org/A5064720873,Huy T. Vo,https://orcid.org/0000-0002-5963-6615,"[""Huy T. Vo""]",openalex
A5006773757,https://openalex.org/A5006773757,Juliana Freire,https://orcid.org/0000-0003-3915-7075,"[""Juliana Freire""]",openalex
A5003584200,https://openalex.org/A5003584200,Claudio Silva,https://orcid.org/0000-0003-2452-2295,"[""Claudio Silva""]",openalex
