work_id,author_id,author_position,author_display_name,affiliation_raw,institutions_openalex_ids,institutions_names,institutions_country_codes,institutions_ror,from_openalex
10.1109/tvcg.2011.185,A5005322254,1,M. G. Bostock,,"[""I97018004""]","[""Stanford University""]","[""US""]","[""https://ror.org/00f54p054""]",True
10.1109/tvcg.2011.185,A5091278432,2,V. Ogievetsky,,"[""I97018004""]","[""Stanford University""]","[""US""]","[""https://ror.org/00f54p054""]",True
10.1109/tvcg.2011.185,A5090570042,3,Jeffrey Heer,,"[""I97018004""]","[""Stanford University""]","[""US""]","[""https://ror.org/00f54p054""]",True
10.1109/tvcg.2014.2346248,A5031057530,1,Alexander Lex,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346248,A5066335313,2,Nils Gehlenborg,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346248,A5084459196,3,Hendrik Strobelt,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346248,A5005306821,4,Romain Vuillemot,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2014.2346248,A5043151044,5,Hanspeter Pfister,,"[""I136199984""]","[""Harvard University""]","[""US""]","[""https://ror.org/03vek6s52""]",True
10.1109/tvcg.2010.179,A5037053327,1,Edward Segel,,"[""I97018004""]","[""Stanford University""]","[""US""]","[""https://ror.org/00f54p054""]",True
10.1109/tvcg.2010.179,A5090570042,2,Jeffrey Heer,,"[""I97018004""]","[""Stanford University""]","[""US""]","[""https://ror.org/00f54p054""]",True
10.1109/tvcg.2006.147,A5043973007,1,Danny Holten,,"[""I83019370""]","[""Eindhoven University of Technology""]","[""NL""]","[""https://ror.org/02c2kyt77""]",True
10.1109/tvcg.2007.70515,A5053349373,1,Ji Soo Yi,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/tvcg.2007.70515,A5088085186,2,Younah Kang,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/tvcg.2007.70515,A5082668404,3,John Stasko,,"[""I130701444""]","[""Georgia Institute of Technology""]","[""US""]","[""https://ror.org/01zkghx44""]",True
10.1109/tvcg.2007.70515,A5114256927,4,Julie A. Jacko,,"[""I130701444"", ""I2802612298""]","[""Georgia Institute of Technology"", ""The Wallace H. Coulter Department of Biomedical Engineering""]","[""US"", ""US""]","[""https://ror.org/01zkghx44"", ""https://ror.org/02j15s898""]",True
10.1109/tvcg.2009.111,A5079916657,1,Tamara Munzner,,"[""I141945490""]","[""University of British Columbia""]","[""CA""]","[""https://ror.org/03rmrcq20""]",True
10.1109/tvcg.2016.2599030,A5077783676,1,Arvind Satyanarayan,,"[""I97018004""]","[""Stanford University""]","[""US""]","[""https://ror.org/00f54p054""]",True
10.1109/tvcg.2016.2599030,A5006087928,2,Dominik Moritz,,"[""I201448701""]","[""University of Washington""]","[""US""]","[""https://ror.org/00cvxb145""]",True
10.1109/tvcg.2016.2599030,A5070061774,3,Kanit Wongsuphasawat,,"[""I201448701""]","[""University of Washington""]","[""US""]","[""https://ror.org/00cvxb145""]",True
10.1109/tvcg.2016.2599030,A5090570042,4,Jeffrey Heer,,"[""I201448701""]","[""University of Washington""]","[""US""]","[""https://ror.org/00cvxb145""]",True
10.1109/tvcg.2012.213,A5037110552,1,Michael Sedlmair,,"[""I141945490""]","[""University of British Columbia""]","[""CA""]","[""https://ror.org/03rmrcq20""]",True
10.1109/tvcg.2012.213,A5008627422,2,Miriah Meyer,,"[""I223532165""]","[""University of Utah""]","[""US""]","[""https://ror.org/03r0ha626""]",True
10.1109/tvcg.2012.213,A5079916657,3,Tamara Munzner,,"[""I141945490""]","[""University of British Columbia""]","[""CA""]","[""https://ror.org/03rmrcq20""]",True
10.1109/tvcg.2013.124,A5104038125,1,Matthew Brehmer,,"[""I141945490""]","[""University of British Columbia""]","[""CA""]","[""https://ror.org/03rmrcq20""]",True
10.1109/tvcg.2013.124,A5079916657,2,Tamara Munzner,,"[""I141945490""]","[""University of British Columbia""]","[""CA""]","[""https://ror.org/03rmrcq20""]",True
10.1109/tvcg.2007.70577,A5059594867,1,Fernanda Viégas,,"[""I1341412227""]","[""IBM (United States)""]","[""US""]","[""https://ror.org/05hh8d621""]",True
10.1109/tvcg.2007.70577,A5039276358,2,Martin Wattenberg,,"[""I1341412227""]","[""IBM (United States)""]","[""US""]","[""https://ror.org/05hh8d621""]",True
10.1109/tvcg.2007.70577,A5076532363,3,Frank van Ham,,"[""I1341412227""]","[""IBM (United States)""]","[""US""]","[""https://ror.org/05hh8d621""]",True
10.1109/tvcg.2007.70577,A5076584054,4,Jesse Kriss,,"[""I1341412227""]","[""IBM (United States)""]","[""US""]","[""https://ror.org/05hh8d621""]",True
10.1109/tvcg.2007.70577,A5103711055,5,Matt McKeon,,"[""I1341412227""]","[""IBM (United States)""]","[""US""]","[""https://ror.org/05hh8d621""]",True
10.1109/tvcg.2014.2346458,A5085342992,1,Peter Lindström,,"[""I1282311441""]","[""Lawrence Livermore National Laboratory""]","[""US""]","[""https://ror.org/041nk4h53""]",True
10.1109/visual.1991.175815,A5109559450,1,B. Johnson,,"[""I66946132""]","[""University of Maryland, College Park""]","[""US""]","[""https://ror.org/047s2c258""]",True
10.1109/visual.1991.175815,A5052623072,2,Ben Shneiderman,,"[""I66946132""]","[""University of Maryland, College Park""]","[""US""]","[""https://ror.org/047s2c258""]",True
10.1109/visual.1990.146402,A5079183364,1,Alfred Inselberg,,"[""I4210087032"", ""I1174212""]","[""Cambridge Scientific (United States)"", ""University of Southern California""]","[""US"", ""US""]","[""https://ror.org/001s4dh65"", ""https://ror.org/03taz7m60""]",True
10.1109/visual.1990.146402,A5083885019,2,Bernard Dimsdale,,"[""I4210087032""]","[""Cambridge Scientific (United States)""]","[""US""]","[""https://ror.org/001s4dh65""]",True
