author_id_1,author_id_2,weight
A5010238198,A5043151044,23
A5009460413,A5019902487,20
A5022699013,A5057538550,19
A5048992354,A5079369129,16
A5008149778,A5085695563,14
A5036489223,A5068526974,14
A5071681891,A5079369129,13
A5073986937,A5078565296,13
A5016219620,A5073919282,12
A5038629539,A5102902131,12
A5043151044,A5084459196,12
A5048992354,A5071681891,12
A5089451178,A5110208682,12
A5091466289,A5100653962,12
A5008754293,A5010238198,11
A5009460413,A5047677160,11
A5000695313,A5000755776,10
A5000695313,A5056069234,10
A5008754293,A5043151044,10
A5018584803,A5026799813,10
A5055992752,A5110208682,10
A5063965880,A5109928029,10
A5073986937,A5088199295,10
A5073986937,A5091466289,10
A5073986937,A5108035744,10
A5091466289,A5100424394,10
A5008269094,A5102773082,9
A5008754293,A5072700322,9
A5022294742,A5109928029,9
A5024860629,A5083454802,9
A5026074051,A5100333760,9
A5031057530,A5042080340,9
A5039276358,A5059594867,9
A5045738980,A5101997668,9
A5000474356,A5101908670,8
A5010660324,A5018584803,8
A5016219620,A5040794392,8
A5018322383,A5073986937,8
A5032305401,A5060725233,8
A5038943746,A5054749881,8
A5045738980,A5073919282,8
A5049050148,A5073986937,8
A5054382056,A5068526974,8
A5071723951,A5073919282,8
A5073919282,A5101997668,8
A5078565296,A5108035744,8
A5082668404,A5100745766,8
A5000755776,A5056069234,7
A5001649622,A5012561411,7
A5003584200,A5011424640,7
A5005017697,A5034699298,7
A5010714340,A5068526974,7
A5024059541,A5103725392,7
A5024860629,A5089688638,7
A5036489223,A5037110552,7
A5037110552,A5068526974,7
A5038629539,A5073619125,7
A5038775008,A5073986937,7
A5038775008,A5091466289,7
A5038943746,A5109616081,7
A5039626800,A5082234726,7
A5043151044,A5066335313,7
A5071356824,A5091466289,7
A5100377652,A5101789836,7
A5000474356,A5077712580,6
A5000695313,A5007628057,6
A5001536494,A5068008545,6
A5001966756,A5077712580,6
A5003584200,A5033801646,6
A5005355207,A5019622072,6
A5007628057,A5056069234,6
A5008754293,A5049241635,6
A5009460413,A5077191719,6
A5010238198,A5049241635,6
A5016219620,A5078086722,6
A5018111215,A5073731680,6
A5019622072,A5032676799,6
A5019902487,A5047677160,6
A5020153026,A5042350842,6
A5024860629,A5065644953,6
A5025297422,A5051025031,6
A5030384394,A5113478834,6
A5031057530,A5043151044,6
A5034806125,A5059655101,6
A5036489223,A5054382056,6
A5037161857,A5074006931,6
A5037675411,A5113555684,6
A5038705854,A5073919282,6
A5038775008,A5107904995,6
A5043151044,A5048194226,6
A5043151044,A5049241635,6
A5045835385,A5090570042,6
A5048229839,A5086223886,6
A5068008545,A5089605137,6
A5071560359,A5100344494,6
A5072598654,A5073919282,6
A5073986937,A5082213932,6
A5077191719,A5114031893,6
A5082213932,A5088199295,6
A5091466289,A5100609686,6
A5100331488,A5101789836,6
A5100653962,A5101789836,6
A5000099153,A5085294981,5
A5000413604,A5029336209,5
A5000413604,A5071898071,5
A5000695313,A5023631793,5
A5000755776,A5007628057,5
A5000755776,A5029818256,5
A5003584200,A5006773757,5
A5003584200,A5064720873,5
A5005364495,A5037161857,5
A5006087928,A5090570042,5
A5008149778,A5009543696,5
A5009460413,A5084707380,5
A5010061027,A5038943746,5
A5010441587,A5100344494,5
A5010499463,A5064306421,5
A5010596785,A5037675411,5
A5010714340,A5036489223,5
A5010714340,A5054382056,5
A5012113499,A5029815396,5
A5012388103,A5042323667,5
A5012388103,A5101506748,5
A5012561411,A5042382359,5
A5012561411,A5052445776,5
A5012561411,A5071066797,5
A5013546425,A5049441601,5
A5016295654,A5073619125,5
A5018322383,A5109722197,5
A5018584803,A5050595151,5
A5019003563,A5019308726,5
A5019622072,A5079997473,5
A5019622072,A5103406484,5
A5019781916,A5089605137,5
A5019902487,A5077191719,5
A5020153026,A5034842879,5
A5021770726,A5030084361,5
A5022022242,A5039343836,5
A5023270158,A5029815396,5
A5023270158,A5035443322,5
A5023558209,A5073986937,5
A5023631793,A5056069234,5
A5024706967,A5073919282,5
A5025397194,A5048647256,5
A5025485089,A5043151044,5
A5026799813,A5101409792,5
A5027836272,A5029621326,5
A5029815396,A5035443322,5
A5030084361,A5052623072,5
A5030384394,A5085748011,5
A5031057530,A5048047909,5
A5032305401,A5089688638,5
A5033953993,A5073919282,5
A5037495122,A5043151044,5
A5037675411,A5062711342,5
A5038629539,A5052673631,5
A5038629539,A5061027107,5
A5039517392,A5100607707,5
A5039626800,A5055750487,5
A5039626800,A5091630951,5
A5042080340,A5048047909,5
A5042080340,A5078536303,5
A5043151044,A5062546146,5
A5043151044,A5082790087,5
A5043405353,A5067858887,5
A5043545263,A5048647256,5
A5045738980,A5071723951,5
A5047827833,A5079916657,5
A5047912015,A5101728710,5
A5048647256,A5087545747,5
A5049830796,A5083220583,5
A5050064511,A5089451178,5
A5054749881,A5108096533,5
A5056214245,A5077940635,5
A5056214245,A5110321988,5
A5058196703,A5073619125,5
A5060725233,A5089688638,5
A5062546146,A5084459196,5
A5062703856,A5109928029,5
A5062711342,A5113555684,5
A5064020522,A5082668404,5
A5071560359,A5100736732,5
A5071723951,A5101997668,5
A5073000458,A5091466289,5
A5073986937,A5081346568,5
A5073986937,A5100344494,5
A5073986937,A5100404535,5
A5073986937,A5109722197,5
A5075876111,A5089451178,5
A5075876111,A5110208682,5
A5077204103,A5086223886,5
A5079986783,A5100344494,5
A5080438656,A5110321988,5
A5082234726,A5091630951,5
A5084913586,A5089451178,5
A5087146581,A5089451178,5
A5100331488,A5100377652,5
A5100404535,A5108035744,5
A5103084682,A5103725392,5
A5000474356,A5042159546,4
A5000474356,A5056999690,4
A5000474356,A5091466289,4
A5000555892,A5004480742,4
A5000755776,A5023631793,4
A5000755776,A5065040154,4
A5000813954,A5043545263,4
A5000813954,A5048647256,4
A5001536494,A5089605137,4
A5002516811,A5073919282,4
A5002860804,A5020415668,4
A5003116261,A5031057530,4
A5003116261,A5042080340,4
A5003116261,A5048047909,4
A5004813317,A5043151044,4
A5005017697,A5053136336,4
A5005109197,A5091466289,4
A5005355207,A5027673731,4
A5006095483,A5043151044,4
A5006095483,A5082790087,4
A5006575291,A5100344494,4
A5008149778,A5050126617,4
A5008627422,A5043151044,4
A5008786958,A5064306421,4
A5008914452,A5062703856,4
A5008914452,A5080438656,4
A5008914452,A5110321988,4
A5009343095,A5065645994,4
A5009460413,A5030896164,4
A5009460413,A5033987709,4
A5009460413,A5046473651,4
A5009460413,A5075651562,4
A5009460413,A5083989376,4
A5009460413,A5085342992,4
A5009543696,A5085695563,4
A5010238198,A5037495122,4
A5010238198,A5082790087,4
A5010238198,A5091300565,4
A5010660324,A5026799813,4
A5010714340,A5037110552,4
A5011941798,A5030439152,4
A5012561411,A5024860629,4
A5012693590,A5091630951,4
A5013243312,A5073919282,4
A5014009990,A5071560359,4
A5015182248,A5016219620,4
A5015182248,A5051532808,4
A5015186378,A5052234283,4
A5015186378,A5056104510,4
A5015186378,A5064300637,4
A5015516607,A5032280607,4
A5015516607,A5077148853,4
A5016219620,A5079507712,4
A5016480053,A5067791733,4
A5016674253,A5050640461,4
A5017415898,A5073619125,4
A5018111215,A5039378866,4
A5018584803,A5045256341,4
A5018584803,A5114250719,4
A5018820623,A5029815396,4
A5019003563,A5086223886,4
A5019308726,A5086223886,4
A5019444857,A5091466289,4
A5019622072,A5027673731,4
A5019756314,A5052151056,4
A5019781916,A5043405353,4
A5019902487,A5046473651,4
A5020415668,A5042382359,4
A5021770726,A5034806125,4
A5021770726,A5049587692,4
A5021770726,A5059655101,4
A5021924764,A5091466289,4
A5024074640,A5058678073,4
A5024349334,A5029336209,4
A5024860629,A5032305401,4
A5025397194,A5045433461,4
A5025799993,A5055472986,4
A5026074051,A5050543367,4
A5026376235,A5100447162,4
A5026799813,A5029506224,4
A5029336209,A5108428297,4
A5029621326,A5030066648,4
A5030084361,A5034806125,4
A5030084361,A5059655101,4
A5030179454,A5101564894,4
A5030703335,A5054382056,4
A5030823954,A5041506287,4
A5030890781,A5109928029,4
A5032305401,A5074985413,4
A5032598257,A5036159118,4
A5032694211,A5056294184,4
A5032694211,A5110208682,4
A5034214530,A5086223886,4
A5034277315,A5054015080,4
A5035052603,A5037675411,4
A5036489223,A5073619125,4
A5036489223,A5073919282,4
A5037675411,A5061311189,4
A5037675411,A5064306421,4
