canonical_affiliation_en,count
"School of Engineering & Applied Sciences, Harvard University",2
University of Sao Paulo,2
Pacific Northwest National Lab,2
University of California Santa Cruz,2
INRIA,2
"Department of Computer Sciences, University of Wisconsin, Madison",2
Univ. of Bergen,2
"State Key Lab of CAD & CG, Zhejiang University",2
IBM T. J. Watson Research Center,2
Northwestern Univ.,2
Department of Computer Science Tufts University,2
UNC Charlotte,2
Zhejiang University of Finance & Economics,2
Los Alamos National Lab,2
Aptima Inc.,2
NVIDIA Corporation,2
Zuse Institute Berlin,2
"School of Computing, Informatics & Decision Systems Engineering, Arizona State University",2
"Delft University of Technology, Delft, The Netherlands",2
Twitter Inc.,2
University of Utah School of Computing,2
Telecom ParisTech,2
"giCentre, City University London",2
University of Ontario Institute of Technology,2
WSI/GRIS University of Tübingen,2
TU Eindhoven,2
"Tokyo Research Laboratory, IBM Japan",2
"The State Key Lab of CAD & CG, Zhejiang University",2
University of Massachusetts Amherst,2
Technische Universitat Kaiserslautern,2
University of FLorida,2
"Center of Visual Data Analysis and Computer Graphics (COVIDAG), University of Duisburg, Essen",2
City University London,2
Silicon Graphics Inc.,2
University of Massachusetts Lowell,2
Harvard Medical School,1
"Center for Applied Scientific Computing, Lawrence Livermore National Laboratory",1
"School of Software and TNList, Tsinghua University",1
"Dept. of Comp. Sci. & Tech., CBICR Center",1
Tableau Research,1
"Shanghai Key Laboratory of Intelligent Information Processing, and School of Computer Science, Fudan University, China and Key Laboratory of Machine Perception (Ministry of Education), Peking University",1
Microsoft Research,1
The New York Times,1
Visual Communication Laboratory at IBM,1
"Data Analysis and Visualization Group, University of Konstanz",1
"Paul G. Allen School of Computer Science & Engineering, University of Washington",1
Google Research,1
Facebook,1
Harvard SEAS,1
"University of British Columbia, Harvard University",1
"Computer Science and Artificial Intelligence Laboratory (CSAIL), Massachusetts Institute of Technology (MIT)",1
University of Michigan,1
"Simon Fraser University, Burnaby, BC, CA",1
Honeycomb.io,1
"Tableau Software, Inc.",1
"University of Groningen, University of Campinas",1
University of Campinas,1
IBM Research,1
"Georgia Institute of Technology,College of Computing, GVU Center",1
Adobe Research,1
"IBM T.J. Watson Research Center, Korea University",1
IBM,1
Ask.com,1
"Data Analysis and Visualisation Group, University of Konstanz",1
Purdue University,1
Sejong University,1
Georgia Tech,1
"SSS, Belgian F.R.S.-FNRS.",1
Texas A&M University,1
University of Applied Sciences Upper Austria,1
VRVis,1
"Zhejiang University, Hong Kong University of Science and Technology",1
University of Macau,1
"Inria, Telecom ParisTech, EnsadLab",1
NYU Polytechnic School of Engineering,1
"University of California, Santa Barbara",1
MIT,1
IBM J. Watson Research Center,1
UOIT,1
"School of Interactive Computing, Georgia Institute of Technology",1
UC Davis and Lawrence Livermore National Laboratory,1
Lawrence Livemore National Laboratory,1
Harbin Institute of Technology,1
University of South Australia,1
"Microsoft Research, Asia, Russia",1
"Department of Computer Science, Kent State University",1
"Department of Computer Science, University of North Carolina at Charlotte",1
"Department of Geography, Kent State University",1
"giCentre, Department of Information Science, City University, London",1
"Department of Geography, UC Santa Barbara",1
Microsoft Research-Inria Joint Centre,1
"IBM T.J, Watson Research Center, Yorktown Height, NY",1
IRT SystemX,1
"Department of Radiology, University of Washington",1
"Department of Radiology and Neurology, University of Washington",1
"Scientific Computing and Imaging Institute, University of Utah, Salt Lake City, UT",1
"Uber Technologies, Inc",1
Uber AI Labs,1
Computer Science Corporation,1
NASA Ames Research Center,1
