institution_id,institution_name,country_code,country_name,world_region,latitude,longitude,city
I100005738,Brigham Young University,US,United States,Americas,40.23384094238281,-111.65853118896484,Provo
I100066346,University of Stuttgart,DE,Germany,Europe,48.782318115234375,9.177020072937012,Stuttgart
I100296615,École Nationale de l’Aviation Civile,FR,France,Europe,43.6042594909668,1.4436700344085693,Toulouse
I100532134,Université Claude Bernard Lyon 1,FR,France,Europe,45.76601028442383,4.879499912261963,Villeurbanne
I100621029,Bank of America,US,United States,Americas,35.22685241699219,-80.84210968017578,Charlotte
I100633361,University of Massachusetts Dartmouth,US,United States,Americas,41.63526153564453,-70.92700958251953,New Bedford
I100930933,University College Dublin,IE,Ireland,Europe,53.33306121826172,-6.248889923095703,Dublin
I102134673,Linköping University,SE,Sweden,Europe,58.410858154296875,15.621569633483887,Linköping
I102149020,University of North Carolina at Charlotte,US,United States,Americas,35.227088928222656,-80.84313201904297,Charlotte
I102197404,Université Paris-Sud,FR,France,Europe,48.69572067260742,2.187269926071167,Orsay
I102322142,"Rutgers, The State University of New Jersey",US,United States,Americas,40.48622131347656,-74.45182037353516,New Brunswick
I102335020,Karlsruhe Institute of Technology,DE,Germany,Europe,49.009368896484375,8.404439926147461,Karlsruhe
I102475099,Supélec,FR,France,Europe,48.68333053588867,2.1333301067352295,Gif-sur-Yvette
I102502594,Northern Illinois University,US,United States,Americas,41.92947006225586,-88.75035858154297,DeKalb
I102520234,TH Köln - University of Applied Sciences,DE,Germany,Europe,50.93470001220703,6.9877800941467285,Cologne
I103163165,Florida State University,US,United States,Americas,30.43825912475586,-84.28073120117188,Tallahassee
I103406327,Western Carolina University,US,United States,Americas,35.3137092590332,-83.17652893066406,Cullowhee
I103531236,Boston College,US,United States,Americas,42.358428955078125,-71.05976867675781,Boston
I104914703,Université du Québec à Chicoutimi,CA,Canada,Americas,48.416751861572266,-71.06572723388672,Saguenay
I106118109,Eötvös Loránd University,HU,Hungary,Europe,47.498348236083984,19.040449142456055,Budapest
I106165777,University of Central Florida,US,United States,Americas,28.538339614868164,-81.37924194335938,Orlando
I107077323,Worcester Polytechnic Institute,US,United States,Americas,42.26258850097656,-71.80229187011719,Worcester
I107257983,Darmstadt University of Applied Sciences,DE,Germany,Europe,49.87166976928711,8.650270462036133,Darmstadt
I107371206,Federal Institute of São Paulo,BR,Brazil,Americas,-23.52257537841797,-46.623046875,São Paulo
I107606265,Broad Institute,US,United States,Americas,42.375099182128906,-71.1056137084961,Cambridge
I107639228,University of Notre Dame,US,United States,Americas,41.700191497802734,-86.23793029785156,Notre Dame
I107766831,NSF National Center for Atmospheric Research,US,United States,Americas,40.014991760253906,-105.27055358886719,Boulder
I10824318,Universidade Federal de Ouro Preto,BR,Brazil,Americas,-20.394840240478516,-43.50516891479492,Ouro Preto
I108290504,University of Pisa,IT,Italy,Europe,43.70853042602539,10.403599739074707,Pisa
I108464949,Center for Applied Special Technology,US,United States,Americas,42.50066375732422,-71.0749282836914,Wakefield
I109935558,Ningbo University,CN,China,Asia,29.878189086914062,121.54945373535156,Ningbo
I110152177,University of Akron,US,United States,Americas,41.07643127441406,-81.50836181640625,Akron
I110378019,Southern Illinois University Carbondale,US,United States,Americas,37.72726821899414,-89.21675109863281,Carbondale
I110736937,Délégation Paris 5,FR,France,Europe,48.85340881347656,2.34879994392395,Paris
I111088046,Boston University,US,United States,Americas,42.358428955078125,-71.05976867675781,Boston
I111277659,Chonnam National University,KR,"Korea, Republic of",,35.176387786865234,126.9080581665039,Gwangju
I111483173,King University,US,United States,Americas,36.58729553222656,-82.15910339355469,Bristol
I1118541,University of East Anglia,GB,United Kingdom,Europe,52.627830505371094,1.2983399629592896,Norwich
I111979921,Northwestern University,US,United States,Americas,42.041141510009766,-87.6900634765625,Evanston
I112260969,Ontario Institute for Cancer Research,CA,Canada,Americas,43.70642852783203,-79.39864349365234,Toronto
I112756935,Mannheim University of Applied Sciences,DE,Germany,Europe,49.48910140991211,8.466939926147461,Mannheim
I112936343,École Centrale de Lyon,FR,France,Europe,45.77436828613281,4.7775797843933105,Écully
I113508548,Albany State University,US,United States,Americas,31.578510284423828,-84.1557388305664,Albany
I113979032,Twitter (United States),US,United States,Americas,37.77492904663086,-122.41941833496094,San Francisco
I114017466,University of Technology Sydney,AU,Australia,Oceania,-33.86785125732422,151.2073211669922,Sydney
I114027177,University of North Carolina at Chapel Hill,US,United States,Americas,35.91320037841797,-79.05583953857422,Chapel Hill
I114073160,Sutter Health,US,United States,Americas,38.58156967163086,-121.49440002441406,Sacramento
I114395901,University of Nebraska–Lincoln,US,United States,Americas,40.79999923706055,-96.66696166992188,Lincoln
I114457229,University of Geneva,CH,Switzerland,Europe,46.20222091674805,6.145689964294434,Geneva
I114832834,Tulane University,US,United States,Americas,29.95465087890625,-90.0750732421875,New Orleans
I115752224,University of Insubria,IT,Italy,Europe,45.820579528808594,8.82511043548584,Varese
I11662577,Monash University Malaysia,MY,Malaysia,Asia,3.043839931488037,101.58061981201172,Subang Jaya
I116953780,Tongji University,CN,China,Asia,31.222219467163086,121.45806121826172,Shanghai
I117197279,Japan Atomic Energy Agency,JP,Japan,Asia,36.46078109741211,140.58058166503906,Tōkai Mura
I1174212,University of Southern California,US,United States,Americas,34.05223083496094,-118.24368286132812,Los Angeles
I118019719,Roche (Switzerland),CH,Switzerland,Europe,47.55839157104492,7.573269844055176,Basel
I118118575,New Jersey Institute of Technology,US,United States,Americas,40.735660552978516,-74.17237091064453,Newark
I118347636,Australian National University,AU,Australia,Oceania,-35.2834587097168,149.12806701660156,Canberra
I118353179,DePaul University,US,United States,Americas,41.85002899169922,-87.6500473022461,Chicago
I118501908,National Research University Higher School of Economics,RU,Russian Federation,Europe,55.761287689208984,37.63307189941406,Moscow
I118564535,University of Bern,CH,Switzerland,Europe,46.948089599609375,7.447440147399902,Bern
I118692353,University of Science and Technology,YE,Yemen,Asia,12.779439926147461,45.03667068481445,Aden
I119003972,Roma Tre University,IT,Italy,Europe,41.891929626464844,12.511329650878906,Rome
I11957088,Michigan Technological University,US,United States,Americas,47.12186813354492,-88.56900787353516,Houghton
I119888943,Gonzaga University,US,United States,Americas,47.65966033935547,-117.4290771484375,Spokane
I119916105,Augsburg University,US,United States,Americas,44.9799690246582,-93.26383972167969,Minneapolis
I120250893,New York University Abu Dhabi,AE,United Arab Emirates,Asia,24.45117950439453,54.3969612121582,Abu Dhabi
I12097938,West Virginia University,US,United States,Americas,39.62953186035156,-79.95590209960938,Morgantown
I121748325,Universidad Complutense de Madrid,ES,Spain,Europe,40.416500091552734,-3.7025599479675293,Madrid
I121797337,Leiden University,NL,Netherlands,Europe,52.158329010009766,4.493060111999512,Leiden
I121820613,Louisiana State University,US,United States,Americas,30.44331932067871,-91.18746948242188,Baton Rouge
I121883995,Johannes Kepler University of Linz,AT,Austria,Europe,48.30638885498047,14.286109924316406,Linz
I121934306,Tufts University,US,United States,Americas,42.41843032836914,-71.10616302490234,Medford
I121980950,Utah State University,US,United States,Americas,41.73548889160156,-111.83438873291016,Logan
I122140584,Universidade Federal do Rio de Janeiro,BR,Brazil,Americas,-22.90641975402832,-43.18223190307617,Rio de Janeiro
I122411786,California Institute of Technology,US,United States,Americas,34.14778137207031,-118.14452362060547,Pasadena
I122754148,SAS Institute (United States),US,United States,Americas,35.82869338989258,-78.76713562011719,Cary
I122991210,"Istituto di Scienza e Tecnologie dell'Informazione ""Alessandro Faedo""",IT,Italy,Europe,43.70853042602539,10.403599739074707,Pisa
I12315562,Texas Tech University,US,United States,Americas,33.57786178588867,-101.85517120361328,Lubbock
I123387679,Uppsala University,SE,Sweden,Europe,59.858821868896484,17.63888931274414,Uppsala
I123431417,Scripps Research Institute,US,United States,Americas,32.7157096862793,-117.16471862792969,San Diego
I12356871,Télécom Paris,FR,France,Europe,48.85340881347656,2.34879994392395,Paris
I123900574,Pohang University of Science and Technology,KR,"Korea, Republic of",,36.029170989990234,129.36480712890625,Pohang
I124055696,University of Copenhagen,DK,Denmark,Europe,55.675941467285156,12.565529823303223,Copenhagen
I124227911,Ben-Gurion University of the Negev,IL,Israel,Asia,31.262191772460938,34.801509857177734,Beersheba
I124261462,Oxford Brookes University,GB,United Kingdom,Europe,51.752220153808594,-1.2559599876403809,Oxford
I124357947,University of London,GB,United Kingdom,Europe,51.50852966308594,-0.12574000656604767,London
I125680101,Turing Institute,GB,United Kingdom,Europe,55.86217498779297,-4.243517875671387,Glasgow
I125749732,Western University,CA,Canada,Americas,42.98339080810547,-81.23303985595703,London
I125839683,Beijing Institute of Technology,CN,China,Asia,39.907501220703125,116.39723205566406,Beijing
I126231945,Queen's University Belfast,GB,United Kingdom,Europe,54.59682083129883,-5.92540979385376,Belfast
I126307644,University of Iowa,US,United States,Americas,41.661128997802734,-91.53016662597656,Iowa City
I126533617,Alliant International University,US,United States,Americas,32.896522521972656,-117.0944595336914,San Diego
I126633494,University of Basrah,IQ,Iraq,Asia,30.508520126342773,47.780399322509766,Basra
I126744593,"University of Maryland, Baltimore",US,United States,Americas,39.29037857055664,-76.61219024658203,Baltimore
I126820664,Vassar College,US,United States,Americas,41.6698112487793,-73.90702819824219,Town of Poughkeepsie
I126863827,Pace University,US,United States,Americas,40.714271545410156,-74.00596618652344,New York
I127317711,Tokyo University of Agriculture,JP,Japan,Asia,35.64089584350586,139.63201904296875,Tokyo
I127558574,DSM (Netherlands),NL,Netherlands,Europe,50.88365173339844,5.981540203094482,Heerlen
I1280414376,United States Air Force Research Laboratory,US,United States,Americas,39.81113052368164,-84.05731201171875,Wright-Patterson AFB
I1280536761,Ames Research Center,US,United States,Americas,37.386051177978516,-122.08384704589844,Mountain View
I1282105669,Argonne National Laboratory,US,United States,Americas,41.673641204833984,-88.0017318725586,Lemont
I1282113950,United States Department of Homeland Security,US,United States,Americas,38.895111083984375,-77.03636932373047,Washington
I1282311441,Lawrence Livermore National Laboratory,US,United States,Americas,37.68186950683594,-121.76801300048828,Livermore
I1282770075,Tektronix (United States),US,United States,Americas,45.4994010925293,-122.82344055175781,Beaverton
I1282927834,Cedars-Sinai Medical Center,US,United States,Americas,34.05223083496094,-118.24368286132812,Los Angeles
I1283103587,AT&T (United States),US,United States,Americas,40.669578552246094,-74.63646697998047,Bedminster
I1283220839,Stuttgart Media University,DE,Germany,Europe,48.74150085449219,9.101400375366211,Stuttgart
I1283280774,Brigham and Women's Hospital,US,United States,Americas,42.358428955078125,-71.05976867675781,Boston
I1283382300,BMW (Germany),DE,Germany,Europe,48.137428283691406,11.57548999786377,Munich
I1283582996,Novartis (Switzerland),CH,Switzerland,Europe,47.55839157104492,7.573269844055176,Basel
I1283595831,Synlab Czech (Czechia),CZ,Czechia,,50.09352111816406,14.452431678771973,Prague
I1285739803,MedStar Washington Hospital Center,US,United States,Americas,38.93000030517578,-77.01499938964844,Washington D.C.
I1286329397,United States Geological Survey,US,United States,Americas,38.968719482421875,-77.34110260009766,Reston
I1286353243,Autodesk (United States),US,United States,Americas,38.005523681640625,-122.53079223632812,San Rafael
I1286704778,Rutherford Appleton Laboratory,GB,United Kingdom,Europe,51.60927963256836,-1.2421400547027588,Didcot
I1286959531,United Nations,US,United States,Americas,40.714271545410156,-74.00596618652344,New York
I1287378978,University of British Columbia Hospital,CA,Canada,Americas,49.26411819458008,-123.24612426757812,Vancouver
I1287521167,Lockheed Martin (United States),US,United States,Americas,38.98067092895508,-77.10025787353516,Bethesda
I1288214837,United States Naval Research Laboratory,US,United States,Americas,38.895111083984375,-77.03636932373047,Washington
I1288330432,Oklahoma State Department of Health,US,United States,Americas,35.467559814453125,-97.51643371582031,Oklahoma City
I1288783943,Bureau of Economic Analysis,US,United States,Americas,38.903995513916016,-77.03369140625,Washington D.C.
I1288882113,Boston Children's Hospital,US,United States,Americas,42.358428955078125,-71.05976867675781,Boston
I1289243028,Oak Ridge National Laboratory,US,United States,Americas,36.01036071777344,-84.26963806152344,Oak Ridge
I1289490764,Centers for Disease Control and Prevention,US,United States,Americas,33.749000549316406,-84.38797760009766,Atlanta
I1289530486,BC Cancer Agency,CA,Canada,Americas,49.27635192871094,-123.16281127929688,Vancouver
