Year,new_authors,cumulative_unique_authors
1990,119,119
1991,119,238
1992,113,351
1993,109,460
1994,113,573
1995,160,733
1996,176,909
1997,178,1087
1998,156,1243
1999,164,1407
2000,196,1603
2001,163,1766
2002,173,1939
2003,177,2116
2004,162,2278
2005,267,2545
2006,206,2751
2007,204,2955
2008,186,3141
2009,225,3366
2010,213,3579
2011,231,3810
2012,244,4054
2013,176,4230
2014,269,4499
2015,254,4753
2016,215,4968
2017,250,5218
2018,217,5435
2019,301,5736
2020,336,6072
2021,306,6378
2022,286,6664
2023,309,6973
2024,246,7219
