author_id,papers,citations,awards,author_name
A5000006583,3,184.0,0,Wolfgang Kollmann
A5000033049,1,8.0,0,Emmy-charlotte Förster
A5000036409,1,36.0,0,Lamont Samuels
A5000056504,1,35.0,0,Paolo Brivio
A5000056900,1,61.0,0,Yonas Sahlemariam Haile
A5000064618,1,9.0,0,Michaël Aupetit
A5000073162,1,2.0,0,Joseph F Derose
A5000079053,2,132.0,0,Manfred Weiler
A5000099153,8,379.0,0,Marcus Magnor
A5000102893,2,123.0,0,David Akers
A5000123743,1,5.0,0,Walid G. Aref
A5000145300,1,20.0,0,R.d. Herch
A5000147776,8,328.0,0,Renato Pajarola
A5000160353,1,5.0,0,M. Wagner
A5000172836,1,29.0,0,J. Juric
A5000173125,8,250.0,0,Stefan Gumhold
A5000175003,1,5.0,0,Calvin Yau
A5000189941,3,134.0,0,Shilpika
A5000199768,1,1.0,1,Zhicheng Liu
A5000212755,1,51.0,0,Jean-françois Im
A5000228959,1,54.0,0,Lendie Follett
A5000242175,1,1.0,0,D. Stevenson
A5000242649,1,82.0,0,George Otto
A5000254667,1,35.0,1,Christian Pölitz
A5000261303,1,33.0,0,Jakob Jakob
A5000266021,1,70.0,0,Ginette Wessel
A5000323557,1,176.0,0,Norman Au
A5000366779,1,0.0,0,Maria Lantin
A5000371948,1,9.0,0,Benjamin Russig
A5000374095,2,481.0,0,Beth Hetzler
A5000390546,1,25.0,0,Caglar Yildirim
A5000413604,15,772.0,1,Xavier Tricoche
A5000420564,7,273.0,2,Bettina Speckmann
A5000426173,1,134.0,0,Janu Verma
A5000426391,1,4.0,0,Robert Sweet
A5000430651,3,71.0,0,David Thompson
A5000474356,26,1774.0,5,Nan Cao
A5000497037,2,57.0,0,Supriya Garg
A5000530055,1,1.0,0,Anthony Kouroupis
A5000555892,11,882.0,1,Harald Piringer
A5000586573,1,0.0,0,Gérard Lecina
A5000588866,1,73.0,0,Fenjin Ye
A5000594918,2,130.0,0,Matthias Kreuseler
A5000602540,2,89.0,0,Mike Cammarano
A5000611152,1,3.0,0,V.j. Argiro
A5000621096,1,0.0,0,H. Videau
A5000622960,5,71.0,0,Johanna Schmidt
A5000623954,1,32.0,0,Mahdi Pakdaman Naeini
A5000624130,1,16.0,0,Hao Dong
A5000630402,2,147.0,0,Bryan A. Pendleton
