institution_id,macro_category,count,institution_name
I-1,Causality & Temporal Analysis,1,
I-1,Geospatial & Seismic Vis,4,
I-1,Graph Visualization & Text Mining,7,
I-1,High-Dimensional Data Analysis,4,
I-1,Imaging & Display Technology,2,
I-1,Network Security & Anomaltic,2,
I-1,Social & Biomedical Analytics,4,
I-1,Topological Data Analysis,1,
I-1,Visual Programming & ML,10,
I-1,Volume Rendering & Immersive Tech,6,
I100005738,Graph Visualization & Text Mining,1,Brigham Young University
I100005738,High-Dimensional Data Analysis,1,Brigham Young University
I100005738,Volume Rendering & Immersive Tech,2,Brigham Young University
I100066346,Causality & Temporal Analysis,2,University of Stuttgart
I100066346,Geospatial & Seismic Vis,1,University of Stuttgart
I100066346,Graph Visualization & Text Mining,21,University of Stuttgart
I100066346,High-Dimensional Data Analysis,12,University of Stuttgart
I100066346,Imaging & Display Technology,4,University of Stuttgart
I100066346,Molecular Simulation,4,University of Stuttgart
I100066346,Perception & Uncertainty Vis,2,University of Stuttgart
I100066346,Social & Biomedical Analytics,5,University of Stuttgart
I100066346,Visual Programming & ML,4,University of Stuttgart
I100066346,Volume Rendering & Immersive Tech,42,University of Stuttgart
I100296615,Graph Visualization & Text Mining,4,École Nationale de l’Aviation Civile
I100296615,Perception & Uncertainty Vis,1,École Nationale de l’Aviation Civile
I100296615,Visual Programming & ML,4,École Nationale de l’Aviation Civile
I100296615,Volume Rendering & Immersive Tech,3,École Nationale de l’Aviation Civile
I100532134,Graph Visualization & Text Mining,1,Université Claude Bernard Lyon 1
I100532134,Social & Biomedical Analytics,2,Université Claude Bernard Lyon 1
I100532134,Visual Programming & ML,1,Université Claude Bernard Lyon 1
I100532134,Volume Rendering & Immersive Tech,1,Université Claude Bernard Lyon 1
I100621029,Graph Visualization & Text Mining,1,Bank of America
I100633361,Graph Visualization & Text Mining,1,University of Massachusetts Dartmouth
I100633361,Volume Rendering & Immersive Tech,1,University of Massachusetts Dartmouth
I100930933,Volume Rendering & Immersive Tech,3,University College Dublin
I102134673,Graph Visualization & Text Mining,3,Linköping University
I102134673,High-Dimensional Data Analysis,5,Linköping University
I102134673,Imaging & Display Technology,1,Linköping University
I102134673,Network Security & Anomaltic,1,Linköping University
I102134673,Perception & Uncertainty Vis,2,Linköping University
I102134673,Volume Rendering & Immersive Tech,25,Linköping University
I102149020,Causality & Temporal Analysis,3,University of North Carolina at Charlotte
I102149020,Geospatial & Seismic Vis,1,University of North Carolina at Charlotte
I102149020,Graph Visualization & Text Mining,8,University of North Carolina at Charlotte
I102149020,High-Dimensional Data Analysis,4,University of North Carolina at Charlotte
I102149020,Imaging & Display Technology,2,University of North Carolina at Charlotte
I102149020,Perception & Uncertainty Vis,5,University of North Carolina at Charlotte
I102149020,Social & Biomedical Analytics,6,University of North Carolina at Charlotte
I102149020,Visual Programming & ML,4,University of North Carolina at Charlotte
I102149020,Volume Rendering & Immersive Tech,7,University of North Carolina at Charlotte
I102197404,Graph Visualization & Text Mining,9,Université Paris-Sud
I102197404,High-Dimensional Data Analysis,5,Université Paris-Sud
I102197404,Perception & Uncertainty Vis,8,Université Paris-Sud
I102197404,Visual Programming & ML,3,Université Paris-Sud
I102197404,Volume Rendering & Immersive Tech,9,Université Paris-Sud
I102322142,Geospatial & Seismic Vis,3,"Rutgers, The State University of New Jersey"
I102322142,Graph Visualization & Text Mining,4,"Rutgers, The State University of New Jersey"
I102322142,Perception & Uncertainty Vis,1,"Rutgers, The State University of New Jersey"
I102322142,Social & Biomedical Analytics,2,"Rutgers, The State University of New Jersey"
I102322142,Visual Programming & ML,2,"Rutgers, The State University of New Jersey"
