topic_id,topic_name,macro_id,macro_name,count
1,Dimensionality Reduction & High-Dim Data,0,High-Dimensional Data Analysis,249
7,Simulation Ensembles & Weather,0,High-Dimensional Data Analysis,111
22,Diffusion Tensor MRI & DTI,0,High-Dimensional Data Analysis,56
3,Node-Link Diagrams & Graph Layouts,1,Graph Visualization & Text Mining,218
8,Topic Modeling & Text Analytics,1,Graph Visualization & Text Mining,150
19,Sports Analytics & Insights,1,Graph Visualization & Text Mining,80
18,Ray Tracing & Volume Rendering,1,Graph Visualization & Text Mining,66
0,Unstructured Meshes & Volume Rendering,2,Volume Rendering & Immersive Tech,429
2,Flow Fields & CFD,2,Volume Rendering & Immersive Tech,238
4,Narrative Visualization & Storytelling,2,Volume Rendering & Immersive Tech,196
6,Vascular & Medical CT Imaging,2,Volume Rendering & Immersive Tech,145
11,Eye Tracking & Augmented Reality,2,Volume Rendering & Immersive Tech,99
21,3D Interaction & Haptics,2,Volume Rendering & Immersive Tech,93
5,Dataflow & Visual Programming,3,Visual Programming & ML,176
12,Deep Learning & Explainable ML,3,Visual Programming & ML,126
10,Geovisualization & Cartography,3,Visual Programming & ML,109
28,Wavelets & Multiresolution,3,Visual Programming & ML,106
23,Social Media & Twitter Analysis,4,Social & Biomedical Analytics,77
25,Bioinformatics & Genomics,4,Social & Biomedical Analytics,75
16,Color Perception & Colormaps,5,Imaging & Display Technology,76
26,Multi-Projector & Display Systems,5,Imaging & Display Technology,66
15,Biomedical Imaging & Microscopy,5,Imaging & Display Technology,61
27,Causality & Temporal Patterns,6,Causality & Temporal Analysis,66
9,Graphical Perception & Uncertainty,7,Perception & Uncertainty Vis,116
24,Tensor Fields & Topology,7,Perception & Uncertainty Vis,59
13,Computational Topology & Contour Trees,8,Topological Data Analysis,75
20,Network Security & Anomaly Detection,9,Network Security & Anomaltic,60
17,Volume Graphics & Geophysics,10,Geospatial & Seismic Vis,68
14,Molecular Dynamics & Simulation,11,Molecular Simulation,57
