MacroId,MacroName,Count
2,Macro 2: meshes • triangulation • surface reconstruction • marching cubes,1306
4,Macro 4: flow field • flow fields • computational fluid dynamics • vortices,509
3,Macro 3: infographics • parallel coordinate plots • coordinate plots • parallel coordinates,387
1,Macro 1: direct volume rendering • treemaps • treemap • volume exploration,335
0,Macro 0: authoring • deep neural networks • deep learning • deep neural,302
10,Macro 10: projector • calibration • camera • cameras,188
5,Macro 5: geophysical • geological • topography • earth science,165
8,Macro 8: topological features • contour trees • contour tree • topological simplification,111
9,Macro 9: interface exploration • database management • databases • database,71
7,Macro 7: volume illumination • volumetric shadows • direct volume rendering • rendering volume,57
11,Macro 11: wavelet • wavelets • multiresolution • curvilinear grids,52
6,Macro 6: anomaly detection • network security • network traffic • attacks,47
