institution_id,display_name,country_name,world_region,total
I100005738,Brigham Young University,United States,Americas,0.0
I4210131308,I.R.C.C.S. Oasi Maria SS,Italy,Europe,0.0
I4210126298,Duke Medical Center,United States,Americas,0.0
I4210125843,University Hospital Leipzig,Germany,Europe,0.0
I4210125796,University Children's Hospital Tübingen,Germany,Europe,0.0
I4210125647,"Istituto Nazionale di Fisica Nucleare, Sezione di Genova",Italy,Europe,0.0
I4210125099,Mayo Clinic in Arizona,United States,Americas,0.0
I4210124949,Microsoft Research (India),India,Asia,0.0
I4210124503,Fraunhofer Institute for Machine Tools and Forming Technology,Germany,Europe,0.0
I4210124474,Swanson Center,United States,Americas,0.0
I4210124175,Center for Astrophysics Harvard & Smithsonian,United States,Americas,0.0
I4210123185,Zhejiang Lab,China,Asia,0.0
I4210123171,Museum of Decorative Arts in Prague,Czechia,,0.0
I4210122954,MIT Lincoln Laboratory,United States,Americas,0.0
I4210122849,Philips (Netherlands),Netherlands,Europe,0.0
I4210122765,Kaiser-Franz-Josef-Spital,Austria,Europe,0.0
I4210122731,Digital Wave (United States),United States,Americas,0.0
I4210126360,Inria Saclay - Île de France,France,Europe,0.0
I4210126794,IBM Research (China),China,Asia,0.0
I4210126846,Information Technology Laboratory,United States,Americas,0.0
I4210127902,Leibniz Institute of Plant Genetics and Crop Plant Research,Germany,Europe,0.0
I4210130112,China Academy of Information and Communications Technology,China,Asia,0.0
I4210130048,Royal Victoria Hospital,United Kingdom,Europe,0.0
I4210129730,RIKEN Center for Computational Science,Japan,Asia,0.0
I4210129173,Defense Systems (United States),United States,Americas,0.0
I4210128818,Institute of Software,China,Asia,0.0
I4210128666,Institut Claudius Regaud,France,Europe,0.0
I4210127875,Nvidia (United States),United States,Americas,0.0
I4210127074,Zhongshan Hospital,China,Asia,0.0
I4210127843,First Automotive Works (China),China,Asia,0.0
I4210127646,Max Planck Institute for Gravitational Physics,Germany,Europe,0.0
I4210127401,Tisch Hospital,United States,Americas,0.0
I4210127322,Procomcure Biotech (Austria),Austria,Europe,0.0
I4210127226,Robert Bosch (Slovenia),Slovenia,Europe,0.0
I4210127166,Centre Inria de l'Université de Lorraine,France,Europe,0.0
I4210122684,Sony Computer Science Laboratories,Japan,Asia,0.0
I4210121988,Film Independent,United States,Americas,0.0
I4210121844,IBM (United Kingdom),United Kingdom,Europe,0.0
I4210115791,Center for Visual Communication (United States),United States,Americas,0.0
I4210116730,Universitätsmedizin Göttingen,Germany,Europe,0.0
I4210116376,SUNY Korea,"Korea, Republic of",,0.0
I4210116319,Maxon Motor (Switzerland),Switzerland,Europe,0.0
I4210116267,American School of Doha,Qatar,Asia,0.0
I4210116233,Kapsch (Czechia),Czechia,,0.0
I4210115859,"Behavioral Tech Research, Inc.",United States,Americas,0.0
I4210115485,Laboratoire d'Informatique pour la Mécanique et les Sciences de l'Ingénieur,France,Europe,0.0
I4210117453,Dana-Farber Cancer Institute,United States,Americas,0.0
I4210115111,University of Arts and Industrial Design Linz,Austria,Europe,0.0
I4210114521,Fluent (United States),United States,Americas,0.0
I4210114115,IBM Research - Thomas J. Watson Research Center,United States,Americas,0.0
I4210114081,Korea Kacoh (South Korea),"Korea, Republic of",,0.0
I4210114058,Max Planck Institute of Animal Behavior,Germany,Europe,0.0
I4210113654,IBM (Canada),Canada,Americas,0.0
I4210117238,National Influenza Center,Mongolia,Asia,0.0
I4210117871,"Systems, Applications & Products in Data Processing (Canada)",Canada,Americas,0.0
I4210121838,Laboratoire Lorrain de Recherche en Informatique et ses Applications,France,Europe,0.0
I4210119712,Max Planck Institute for Mathematics,Germany,Europe,0.0
I4210121626,Signal Processing (United States),United States,Americas,0.0
I4210121445,Institute for Development and Economic Analysis,Indonesia,Asia,0.0
I4210121405,Centre for Artificial Intelligence and Robotics,India,Asia,0.0
I4210120900,Stanford Synchrotron Radiation Lightsource,United States,Americas,0.0
I4210120727,Ecole Nationale du Génie de l'Eau et de l'Environnement de Strasbourg (ENGEES),France,Europe,0.0
I4210120115,Robert Bosch (United States),United States,Americas,0.0
I4210119669,Boehringer Ingelheim (Austria),Austria,Europe,0.0
I4210118379,Aptima (United States),United States,Americas,0.0
I4210119362,Hahn-Schickard-Gesellschaft für angewandte Forschung,Germany,Europe,0.0
I4210119257,University of Information Technology and Communications,Iraq,Asia,0.0
I4210119109,Indiana University Bloomington,United States,Americas,0.0
I4210119061,Institut de Recherche en Informatique de Toulouse,France,Europe,0.0
I4210118689,Joint Research Centre,Italy,Europe,0.0
I4210118524,Université Bourgogne Franche-Comté,France,Europe,0.0
I4210131230,Philips (United States),United States,Americas,0.0
I4210131712,Oklahoma State University Oklahoma City,United States,Americas,0.0
I3045169105,Southern University of Science and Technology,China,Asia,0.0
I4210131883,Brazilian Society of Computational and Applied Mathematics,Brazil,Americas,0.0
I4210143490,Computing Center,Russian Federation,Europe,0.0
I4210143137,University of Louisville Hospital,United States,Americas,0.0
I4210142721,Hospital Universitário da Universidade de São Paulo,Brazil,Americas,0.0
I4210142429,Women's Health Research Institute,Canada,Americas,0.0
