MacroId,MacroName,Count,MacroCategory,MacroSlug
3,Macro 3: meshes • direct volume rendering • ray tracing • mesh simplification,1372,Meshes & Volume Rendering,meshes-volume-rendering
4,Macro 4: flow field • flow fields • vortices • computational fluid dynamics,634,Flow Fields & CFD Visualization,flow-fields-cfd
2,Macro 2: multidimensional scaling • dimensionality reduction dr • parallel coordinate plots • scatterplots,435,Dimensionality Reduction & Multivariate Plots,dimensionality-reduction-multivariate
1,Macro 1: surgical planning • virtual colonoscopy • surgical • tomography,381,Surgical Planning & Tomography,surgical-planning-tomography
7,Macro 7: diffusion tensor • magnetic resonance imaging • tractography • mri,258,Diffusion MRI & Tractography,diffusion-mri-tractography
6,Macro 6: visualisations • ieee vis • scientific literature • bibliographic,176,VIS Literature & Bibliometrics,vis-literature-bibliometrics
0,Macro 0: twitter • social media • tweets • media,104,Twitter & Social Media,twitter-social-media
5,Macro 5: dashboards • infographics • dashboard • infographic,99,Dashboards & Infographics,dashboards-infographics
8,Macro 8: line charts • multidimensional scaling • line graphs • temporal patterns,44,Time Series & Temporal Patterns,time-series-temporal-patterns
9,Macro 9: direct volume rendering • ultrasound • volume segmentation • volume rendering transfer,28,Ultrasound Volume Rendering & Segmentation,ultrasound-volume-rendering-segmentation
