author_id,openalex_author_id_url,display_name,orcid,source
A5023631793,https://openalex.org/A5023631793,Rainer Splechtna,,openalex
A5030567814,https://openalex.org/A5030567814,Majid Behravan,https://orcid.org/0000-0001-6525-6646,openalex
A5007628057,https://openalex.org/A5007628057,Mario Jelović,,openalex
A5056069234,https://openalex.org/A5056069234,Denis Gračanin,https://orcid.org/0000-0001-6831-2818,openalex
A5000755776,https://openalex.org/A5000755776,Helwig Hauser,https://orcid.org/0000-0003-0395-3192,openalex
A5000695313,https://openalex.org/A5000695313,Krešimir Matković,https://orcid.org/0000-0001-9406-8943,openalex
A5101313928,https://openalex.org/A5101313928,Sam Yu Te Lee,https://orcid.org/0009-0000-2629-3954,openalex
A5107079522,https://openalex.org/A5107079522,Aryaman Bahukhandi,,openalex
A5101769619,https://openalex.org/A5101769619,Dongyu Liu,https://orcid.org/0000-0002-8915-2785,openalex
A5037161857,https://openalex.org/A5037161857,Kwan‐liu Ma,https://orcid.org/0000-0001-8086-0366,openalex
A5108332991,https://openalex.org/A5108332991,Youfu Yan,,openalex
A5100880042,https://openalex.org/A5100880042,Yu Hou,https://orcid.org/0009-0009-7184-6592,openalex
A5034370661,https://openalex.org/A5034370661,Yongkang Xiao,https://orcid.org/0000-0002-8808-8371,openalex
A5100421963,https://openalex.org/A5100421963,Rui Zhang,https://orcid.org/0000-0001-8258-3585,openalex
A5100609686,https://openalex.org/A5100609686,Qianwen Wang,https://orcid.org/0000-0003-1728-4102,openalex
A5077000036,https://openalex.org/A5077000036,Nan Chen,https://orcid.org/0000-0003-1504-6813,openalex
A5101646087,https://openalex.org/A5101646087,Yuge Zhang,https://orcid.org/0000-0002-1956-416X,openalex
A5101321062,https://openalex.org/A5101321062,Jiahang Xu,,openalex
A5059778636,https://openalex.org/A5059778636,Kan Ren,https://orcid.org/0000-0003-3391-5795,openalex
A5056175399,https://openalex.org/A5056175399,Yuqing Yang,https://orcid.org/0000-0002-3536-167X,openalex
A5065310800,https://openalex.org/A5065310800,Fabian Beck,https://orcid.org/0000-0003-4042-3043,openalex
A5015186378,https://openalex.org/A5015186378,Andrew Wentzel,https://orcid.org/0000-0002-2003-2750,openalex
A5108152977,https://openalex.org/A5108152977,Serageldin Attia,,openalex
A5100380931,https://openalex.org/A5100380931,Xinhua Zhang,https://orcid.org/0000-0002-4084-6022,openalex
A5064300637,https://openalex.org/A5064300637,Guadalupe Canahuate,https://orcid.org/0000-0001-5873-5454,openalex
A5052234283,https://openalex.org/A5052234283,Clifton D. Fuller,https://orcid.org/0000-0002-5264-3994,openalex
A5056104510,https://openalex.org/A5056104510,G. Elisabeta Marai,https://orcid.org/0000-0002-7212-9669,openalex
A5011823353,https://openalex.org/A5011823353,Nicole Sultanum,https://orcid.org/0000-0001-8608-1427,openalex
A5006232882,https://openalex.org/A5006232882,Vidya Setlur,https://orcid.org/0000-0003-3722-406X,openalex
A5060888358,https://openalex.org/A5060888358,Sehi L’yi,https://orcid.org/0000-0001-7720-2848,openalex
A5030916818,https://openalex.org/A5030916818,Astrid Van Den Brandt,https://orcid.org/0000-0002-3676-1341,openalex
A5109760472,https://openalex.org/A5109760472,Etowah Adams,,openalex
A5031483176,https://openalex.org/A5031483176,Huyen N. Nguyen,https://orcid.org/0000-0001-6554-2327,openalex
A5066335313,https://openalex.org/A5066335313,Nils Gehlenborg,https://orcid.org/0000-0003-0327-8297,openalex
A5061797219,https://openalex.org/A5061797219,Kazi Tasnim Zinat,https://orcid.org/0000-0001-7914-5955,openalex
A5107293586,https://openalex.org/A5107293586,Saimadhav Naga Sakhamuri,,openalex
A5113387118,https://openalex.org/A5113387118,Aaron Sun Chen,,openalex
A5100745766,https://openalex.org/A5100745766,Zhicheng Liu,https://orcid.org/0000-0002-1015-2759,openalex
A5046075769,https://openalex.org/A5046075769,Hannah K. Bako,https://orcid.org/0000-0001-7958-1319,openalex
A5100395670,https://openalex.org/A5100395670,Xinyi Liu,https://orcid.org/0009-0007-8346-4095,openalex
A5108982981,https://openalex.org/A5108982981,Grace Ko,,openalex
A5108982982,https://openalex.org/A5108982982,Hyemi Song,,openalex
A5009763002,https://openalex.org/A5009763002,Leilani Battle,https://orcid.org/0000-0003-3870-636X,openalex
A5072912898,https://openalex.org/A5072912898,Eric Mörth,https://orcid.org/0000-0003-1625-0146,openalex
A5092528206,https://openalex.org/A5092528206,Kevin Sidak,,openalex
A5030146315,https://openalex.org/A5030146315,Zoltan Maliga,https://orcid.org/0000-0003-4209-7253,openalex
A5060664606,https://openalex.org/A5060664606,Torsten Möller,https://orcid.org/0000-0003-1192-0710,openalex
A5063426870,https://openalex.org/A5063426870,Peter K. Sorger,https://orcid.org/0000-0002-3364-1838,openalex
A5043151044,https://openalex.org/A5043151044,Hanspeter Pfister,https://orcid.org/0000-0002-3620-2582,openalex
A5010238198,https://openalex.org/A5010238198,Johanna Beyer,https://orcid.org/0000-0002-3505-9171,openalex
A5113517476,https://openalex.org/A5113517476,Robert A. Kruger,,openalex
A5048567843,https://openalex.org/A5048567843,Songwen Hu,,openalex
A5029758092,https://openalex.org/A5029758092,Ouxun Jiang,,openalex
A5029714731,https://openalex.org/A5029714731,Jeffrey Riedmiller,https://orcid.org/0000-0003-2820-9319,openalex
A5067858887,https://openalex.org/A5067858887,Cindy Xiong,https://orcid.org/0000-0002-1451-4083,openalex
A5100604593,https://openalex.org/A5100604593,Deng Luo,https://orcid.org/0000-0003-4610-8730,openalex
