work_id,author_id,author_position,institutions,from_openalex
10.1109/tvcg.2024.3456356,A5023631793,1,"[""I1343190059""]",True
10.1109/tvcg.2024.3456356,A5030567814,2,"[""I859038795""]",True
10.1109/tvcg.2024.3456356,A5007628057,3,[],True
10.1109/tvcg.2024.3456356,A5056069234,4,"[""I859038795""]",True
10.1109/tvcg.2024.3456356,A5000755776,5,"[""I4432739""]",True
10.1109/tvcg.2024.3456356,A5000695313,6,"[""I1343190059""]",True
10.1109/tvcg.2024.3456398,A5101313928,1,"[""I84218800""]",True
10.1109/tvcg.2024.3456398,A5107079522,2,"[""I84218800""]",True
10.1109/tvcg.2024.3456398,A5101769619,3,"[""I84218800""]",True
10.1109/tvcg.2024.3456398,A5037161857,4,"[""I84218800""]",True
10.1109/tvcg.2024.3456364,A5108332991,1,"[""I130238516"", ""I4210101327""]",True
10.1109/tvcg.2024.3456364,A5100880042,2,"[""I130238516"", ""I4210101327""]",True
10.1109/tvcg.2024.3456364,A5034370661,3,"[""I4210101327"", ""I130238516""]",True
10.1109/tvcg.2024.3456364,A5100421963,4,"[""I130238516"", ""I4210101327""]",True
10.1109/tvcg.2024.3456364,A5100609686,5,"[""I4210101327"", ""I130238516""]",True
10.1109/tvcg.2024.3456320,A5077000036,1,"[""I1290206253""]",True
10.1109/tvcg.2024.3456320,A5101646087,2,"[""I1290206253""]",True
10.1109/tvcg.2024.3456320,A5101321062,3,"[""I1290206253""]",True
10.1109/tvcg.2024.3456320,A5059778636,4,"[""I30809798""]",True
10.1109/tvcg.2024.3456320,A5056175399,5,"[""I1290206253""]",True
10.1109/tvcg.2024.3456199,A5065310800,1,"[""I94626330""]",True
10.1109/tvcg.2024.3456160,A5015186378,1,"[""I39422238""]",True
10.1109/tvcg.2024.3456160,A5108152977,2,[],True
10.1109/tvcg.2024.3456160,A5100380931,3,"[""I39422238""]",True
10.1109/tvcg.2024.3456160,A5064300637,4,"[""I126307644""]",True
10.1109/tvcg.2024.3456160,A5052234283,5,"[""I39422238""]",True
10.1109/tvcg.2024.3456160,A5056104510,6,"[""I39422238""]",True
10.1109/tvcg.2024.3456601,A5011823353,1,"[""I4210163771""]",True
10.1109/tvcg.2024.3456601,A5006232882,2,"[""I4210163771""]",True
10.1109/tvcg.2024.3456598,A5060888358,1,"[""I136199984""]",True
10.1109/tvcg.2024.3456598,A5030916818,2,"[""I83019370""]",True
10.1109/tvcg.2024.3456598,A5109760472,3,"[""I136199984""]",True
10.1109/tvcg.2024.3456598,A5031483176,4,"[""I136199984""]",True
10.1109/tvcg.2024.3456598,A5066335313,5,"[""I136199984""]",True
10.1109/tvcg.2024.3456510,A5061797219,1,"[""I66946132""]",True
10.1109/tvcg.2024.3456510,A5107293586,2,"[""I66946132""]",True
10.1109/tvcg.2024.3456510,A5113387118,3,"[""I66946132""]",True
10.1109/tvcg.2024.3456510,A5100745766,4,"[""I66946132""]",True
10.1109/tvcg.2024.3456407,A5046075769,1,"[""I66946132""]",True
10.1109/tvcg.2024.3456407,A5100395670,2,"[""I86519309""]",True
10.1109/tvcg.2024.3456407,A5108982981,3,"[""I66946132""]",True
10.1109/tvcg.2024.3456407,A5108982982,4,"[""I66946132""]",True
10.1109/tvcg.2024.3456407,A5009763002,5,"[""I201448701""]",True
10.1109/tvcg.2024.3456407,A5100745766,6,"[""I66946132""]",True
10.1109/tvcg.2024.3456406,A5072912898,1,"[""I136199984""]",True
10.1109/tvcg.2024.3456406,A5092528206,2,"[""I129774422""]",True
10.1109/tvcg.2024.3456406,A5030146315,3,"[""I136199984""]",True
10.1109/tvcg.2024.3456406,A5060664606,4,"[""I129774422"", ""I4210165591""]",True
10.1109/tvcg.2024.3456406,A5066335313,5,"[""I136199984""]",True
10.1109/tvcg.2024.3456406,A5063426870,6,"[""I136199984""]",True
10.1109/tvcg.2024.3456406,A5043151044,7,"[""I2801851002""]",True
10.1109/tvcg.2024.3456406,A5010238198,8,"[""I2801851002""]",True
10.1109/tvcg.2024.3456406,A5113517476,9,"[""I57206974""]",True
10.1109/tvcg.2024.3456405,A5048567843,1,"[""I2800444561"", ""I130701444""]",True
10.1109/tvcg.2024.3456405,A5029758092,2,"[""I111979921""]",True
10.1109/tvcg.2024.3456405,A5029714731,3,"[""I4210093996""]",True
10.1109/tvcg.2024.3456405,A5067858887,4,"[""I130701444"", ""I2800444561""]",True
10.1109/tvcg.2024.3456404,A5100604593,1,"[""I71920554""]",True
10.1109/tvcg.2024.3456404,A5095094591,2,"[""I71920554""]",True
10.1109/tvcg.2024.3456404,A5031175155,3,"[""I71920554""]",True
10.1109/tvcg.2024.3456404,A5107104365,4,"[""I71920554""]",True
10.1109/tvcg.2024.3456404,A5083454802,5,"[""I277688954"", ""I1294671590""]",True
10.1109/tvcg.2024.3456404,A5022294742,6,"[""I71920554""]",True
10.1109/tvcg.2024.3456403,A5106186163,1,"[""I212119943""]",True
10.1109/tvcg.2024.3456403,A5001649622,2,"[""I212119943""]",True
10.1109/tvcg.2024.3456403,A5081381214,3,"[""I212119943""]",True
10.1109/tvcg.2024.3456402,A5020327777,1,"[""I111979921""]",True
10.1109/tvcg.2024.3456402,A5001536494,2,"[""I40347166""]",True
10.1109/tvcg.2024.3456402,A5089605137,3,"[""I111979921""]",True
10.1109/tvcg.2024.3456402,A5068008545,4,"[""I111979921""]",True
10.1109/tvcg.2024.3456401,A5030359278,1,"[""I21449261""]",True
10.1109/tvcg.2024.3456401,A5018764541,2,"[""I21449261""]",True
