institution_a,institution_b,weight
I200769079,I889458895,105
I1343190059,I145847075,35
I1327163397,I59553526,34
I102197404,I1326498283,29
I1282311441,I223532165,20
I200769079,I76130692,18
I76130692,I889458895,18
I153267046,I84218800,17
I200769079,I4210113369,16
I1290206253,I4210164937,16
I4210113369,I889458895,16
I1343190059,I4432739,15
I1294671590,I277688954,15
I2801239119,I56590836,15
I1294671590,I1326498283,14
I139660479,I76130692,14
I154099455,I189712700,13
I136199984,I2801851002,11
I1294671590,I39804081,11
I149899117,I4210109712,11
I145847075,I4432739,11
I1282311441,I84218800,11
I102197404,I4210144804,10
I1343190059,I859038795,9
I1326498283,I4210144804,9
I102197404,I277688954,9
I38877650,I76130692,9
I100066346,I189712700,9
I188538660,I2802236040,9
I102197404,I1294671590,9
I1341412227,I4210114115,8
I12356871,I4210165912,8
I4210123185,I76130692,8
I130701444,I2800444561,8
I45928872,I76130692,8
I1326498283,I277688954,8
I154099455,I177725633,8
I145847075,I71920554,8
I136199984,I71920554,8
I189712700,I4092182,8
I1326498283,I185261750,7
I2800006345,I98358874,7
I1282105669,I223532165,7
I4210113369,I76130692,7
I175594653,I27804330,7
I4432739,I859038795,7
I1282105669,I52357470,6
I114027177,I69048370,6
I154099455,I20231570,6
I145847075,I4210136249,6
I277688954,I4210144804,6
I21449261,I4432739,6
I223532165,I84218800,6
I100066346,I154099455,6
I153267046,I223532165,6
I1290206253,I168635309,6
I1294671590,I4210126360,6
I1286353243,I1326498283,6
I1326498283,I4210115485,6
I1290206253,I1326498283,6
I1343190059,I71920554,6
I4210138551,I95793202,6
I102197404,I4210115485,6
I129774422,I1343190059,6
I1294671590,I4210144804,6
I2803209242,I84218800,6
I1326498283,I169381384,6
I76130692,I90727586,6
I195893171,I4210109712,5
I153267046,I3019415892,5
I2802076133,I4387153937,5
I116953780,I200769079,5
I116953780,I889458895,5
I69356397,I76130692,5
I100066346,I18014758,5
I200769079,I20231570,5
I12356871,I1294671590,5
I20231570,I889458895,5
I1326498283,I4210126360,5
I139660479,I90727586,5
I1289243028,I75027704,5
I79510175,I99065089,5
I157725225,I39422238,5
I100066346,I20231570,5
I4210119109,I592451,5
I145847075,I83019370,5
I2799323385,I35440088,5
I219193219,I223532165,5
I1283280774,I136199984,5
I161057412,I179093154,5
I4210164937,I889458895,5
I1343871089,I223532165,5
I200769079,I4210164937,5
I4210113369,I99065089,5
I219193219,I2802236040,5
I148283060,I84218800,5
I134446601,I95457486,5
I134560555,I4210119061,5
I4210164937,I99065089,5
I1343190059,I35440088,5
I102149020,I121934306,5
I223532165,I52357470,5
I168635309,I18014758,4
I52357470,I99041443,4
I126307644,I39422238,4
I223532165,I926574661,4
I201448701,I66946132,4
I4210122849,I83019370,4
I189712700,I20231570,4
I177725633,I189712700,4
I177725633,I20231570,4
I4210103986,I76130692,4
I100066346,I223532165,4
I139660479,I99065089,4
I111979921,I1306409833,4
I204337017,I66946132,4
I1326498283,I4210164937,4
I200870766,I59553526,4
I141945490,I212119943,4
I1306409833,I130701444,4
I188538660,I219193219,4
I201448701,I97018004,4
I1294671590,I4210165912,4
I4210152422,I4210160189,4
I185261750,I2801317318,4
I57206974,I90965887,4
I145847075,I21449261,4
I17974374,I223532165,4
I1289243028,I223532165,4
I1306409833,I201448701,4
I102149020,I149910238,4
I205237279,I76130692,4
I1294671590,I204730241,4
I2801851002,I71920554,4
I114027177,I116953780,4
I2801851002,I4092182,4
I121883995,I2801851002,4
I136199984,I4210150141,4
I219193219,I55732556,4
I219193219,I28777354,4
I154570441,I4210164937,4
I1326498283,I168635309,4
I148283060,I95457486,4
I100296615,I169381384,4
I192454743,I4210104735,4
I4210119061,I4210160189,4
I4210119061,I4210152422,4
I3131550300,I4210160189,4
I3131550300,I4210152422,4
I111979921,I66946132,4
I180825142,I4210144576,4
I2801239119,I4210164937,4
I4210164937,I56590836,4
I201448701,I27837315,4
I168635309,I180825142,4
I277688954,I4210126360,4
I172675005,I200769079,4
I172675005,I889458895,4
I102197404,I204730241,4
I2801317318,I4210141030,4
I185261750,I4210141030,4
I100296615,I134560555,4
I100296615,I3131550300,4
I100296615,I4210119061,4
I100296615,I4210152422,4
I100296615,I4210160189,4
I134560555,I3131550300,4
I134560555,I4210152422,4
I134560555,I4210160189,4
I3131550300,I4210119061,4
I145847075,I4665924,4
I39586589,I40120149,4
I4092182,I76130692,4
I130701444,I142606810,4
I1299022934,I1299303238,4
I153267046,I55732556,4
I76130692,I99065089,4
I1280536761,I185103710,4
I102134673,I4210113652,4
I161127581,I39422238,4
I138211613,I145847075,4
I157725225,I4210135837,4
I181653535,I36258959,4
I1290206253,I56590836,3
I185443292,I59553526,3
I2801239119,I42894916,3
I1338124936,I57206974,3
I42894916,I56590836,3
I123431417,I145847075,3
I1326498283,I39804081,3
I39804081,I4210150358,3
I1290206253,I130701444,3
I138006243,I39804081,3
I139264467,I83436808,3
I17974374,I4210131883,3
I129774422,I145847075,3
I124357947,I4210160447,3
I161127581,I57206974,3
I19820366,I4210128818,3
I121883995,I145847075,3
I102197404,I4210126360,3
I141945490,I4210163771,3
I149910238,I76130692,3
I4210142254,I4210160189,3
I1326498283,I4210161634,3
I189712700,I2801851002,3
I1325886976,I189712700,3
I15057530,I4210160189,3
I15057530,I4210142254,3
I143288331,I176453806,3
I2800289517,I926574661,3
