Year,mean_authors,std_authors,min_authors,max_authors,n_papers
1990,2.2641509433962264,1.3323048766968641,1,6,53
1991,2.56,1.3874069191061698,1,7,50
1992,2.490566037735849,1.825278076911886,1,12,53
1993,2.3454545454545452,1.3083518302752175,1,6,55
1994,2.5849056603773586,1.4862700120170595,1,8,53
1995,2.638888888888889,1.446759911319624,1,7,72
1996,3.3289473684210527,1.9690143584696507,1,11,76
1997,2.8045977011494254,1.7309701571982499,1,12,87
1998,2.7111111111111112,1.4001961695984968,1,9,90
1999,3.0,1.2129568697262454,1,8,88
2000,3.217391304347826,1.5322617553657474,1,8,92
2001,3.3815789473684212,1.5745230411199274,1,10,76
2002,2.98019801980198,1.6185190639581728,1,15,101
2003,3.2135922330097086,1.6547642770159448,1,9,103
2004,3.3608247422680413,1.6213778027904056,1,9,97
2005,3.5508474576271185,2.048962454249737,1,17,118
2006,3.424778761061947,1.5047858754565224,1,8,113
2007,3.7476635514018692,1.6373785880032201,1,10,107
2008,3.8282828282828283,1.7440300739332901,1,10,99
2009,3.8448275862068964,1.9587194054140142,1,14,116
2010,3.8073394495412844,1.6013713117673698,1,9,109
2011,4.0,1.7074115606051559,2,9,119
2012,4.198275862068965,1.7506263603845234,1,9,116
2013,4.128712871287129,1.8202382609792251,1,9,101
2014,4.609022556390977,2.0810639268578885,1,14,133
2015,4.519685039370079,1.794393356836822,2,9,127
2016,4.6869565217391305,1.8178704400175363,2,10,115
2017,4.728070175438597,1.9834942248881318,1,10,114
2018,4.6299212598425195,1.7584406404011117,2,9,127
2019,5.255813953488372,2.2716977054873033,1,16,129
2020,5.050955414012739,2.2153201376103433,1,13,157
2021,5.045871559633028,1.9502389269623384,1,13,109
2022,5.415254237288136,2.085055785133492,2,13,118
2023,5.330827067669173,2.811561101226231,1,21,133
2024,4.701612903225806,1.9876850068197973,1,14,124
