Year,unique_authors_year,unique_authors_new,unique_authors_cum
1990,119,119,119
1991,124,111,230
1992,124,109,339
1993,123,106,445
1994,134,110,555
1995,182,147,702
1996,232,174,876
1997,225,170,1046
1998,232,153,1199
1999,239,162,1361
2000,280,187,1548
2001,231,154,1702
2002,269,167,1869
2003,288,171,2040
2004,296,156,2196
2005,386,244,2440
2006,343,201,2641
2007,344,199,2840
2008,344,184,3024
2009,383,216,3240
2010,366,200,3440
2011,409,221,3661
2012,418,226,3887
2013,349,172,4059
2014,505,259,4318
2015,494,245,4563
2016,447,206,4769
2017,452,245,5014
2018,495,204,5218
2019,550,291,5509
2020,648,329,5838
2021,456,221,6059
2022,528,272,6331
2023,587,280,6611
2024,507,222,6833
