author_id,n_papers,total_citations,n_awards,display_name,doi_list
A1044056533,1,28.0,0,P. Samuel Quinan,"[""10.1109/tvcg.2021.3114803""]"
A1208706714,1,31.0,0,Marlene Zawin,"[""10.1109/tvcg.2021.3114851""]"
A130811099,1,17.0,0,Giorgio Gaglia,"[""10.1109/tvcg.2021.3114786""]"
A1495897400,1,59.0,0,Sehi L'yi,"[""10.1109/tvcg.2021.3114876""]"
A1847723389,1,14.0,0,Michael Behrisch,"[""10.1109/vast47406.2019.8986940""]"
A1937654608,1,35.0,0,Yue Zhao,"[""10.1109/tvcg.2021.3114865""]"
A1975774854,1,30.0,1,Leilani Battle,"[""10.1109/tvcg.2021.3114814""]"
A1977048702,1,28.0,0,Zhao Jian,"[""10.1109/tvcg.2021.3114822""]"
A1983829605,1,7.0,0,Hui Shao,"[""10.1109/tvcg.2021.3114812""]"
A1984358069,3,168.0,2,Huamin Qu,"[""10.1109/tvcg.2021.3114790"", ""10.1109/tvcg.2021.3114806"", ""10.1109/tvcg.2021.3114863""]"
A1986027970,1,11.0,0,Elmar Eisemann,"[""10.1109/tvcg.2021.3114817""]"
A1989027630,1,19.0,0,He Huang,"[""10.1109/tvcg.2021.3114856""]"
A1992769770,2,124.0,1,Hui Zhang,"[""10.1109/tvcg.2021.3114806"", ""10.1109/tvcg.2021.3114861""]"
A2004349175,1,13.0,1,Bettina Speckmann,"[""10.1109/tvcg.2021.3114773""]"
A2008440735,1,17.0,0,Sandro Santagata,"[""10.1109/tvcg.2021.3114786""]"
A2008458290,1,11.0,0,Mark Van De Ruit,"[""10.1109/tvcg.2021.3114817""]"
A2008775589,1,30.0,1,Zehua Zeng,"[""10.1109/tvcg.2021.3114814""]"
A2010128826,1,4.0,0,Yu Qin,"[""10.1109/tvcg.2021.3114872""]"
A2012898261,1,7.0,0,Xiang Yong,"[""10.1109/tvcg.2021.3114812""]"
A2014743128,1,11.0,0,Stefan Zellmann,"[""10.1109/tvcg.2021.3114869""]"
A2015009204,1,13.0,1,Wouter Meulemans,"[""10.1109/tvcg.2021.3114773""]"
A2018762813,1,14.0,0,Hao Wang,"[""10.1109/tvcg.2021.3114789""]"
A2022576506,2,110.0,0,Arvind Satyanarayan,"[""10.1109/tvcg.2021.3114770"", ""10.1109/tvcg.2021.3114796""]"
A2023608286,1,7.0,0,Remco Chang,"[""10.1109/tvcg.2021.3114796""]"
A2034595988,1,10.0,1,Alexander Lex,"[""10.1109/tvcg.2021.3114766""]"
A2039836087,1,19.0,0,Tali Mazor,"[""10.1109/tvcg.2021.3114840""]"
A2043571136,1,92.0,1,Haotian Li,"[""10.1109/tvcg.2021.3114863""]"
A2044747201,1,4.0,0,Martha Cary Eppes,"[""10.1109/tvcg.2021.3114867""]"
A2055533637,1,17.0,0,Robert Krueger,"[""10.1109/tvcg.2021.3114786""]"
A2059514868,1,4.0,0,Brian Summa,"[""10.1109/tvcg.2021.3114872""]"
A2062090202,1,4.0,0,Brittany Terese Fasy,"[""10.1109/tvcg.2021.3114872""]"
A2063640528,1,7.0,0,Joseph M Hellerstein,"[""10.1109/tvcg.2021.3114796""]"
A2083709059,1,4.0,0,Jing Yang,"[""10.1109/tvcg.2021.3114867""]"
A2087252583,1,45.0,0,John Stasko,"[""10.1109/tvcg.2021.3114813""]"
A2096073198,1,28.0,0,Mingming Fan,"[""10.1109/tvcg.2021.3114822""]"
A2097574197,1,19.0,0,Haidong Zhang,"[""10.1109/tvcg.2021.3114856""]"
A2097601609,1,2.0,1,Eugene Zhang,"[""10.1109/tvcg.2021.3114808""]"
A2097661864,1,19.0,0,Dongmei Zhang,"[""10.1109/tvcg.2021.3114856""]"
A2097944852,1,7.0,0,Eugene Wu,"[""10.1109/tvcg.2021.3114796""]"
A2098122043,1,45.0,0,Evanthia Dimara,"[""10.1109/tvcg.2021.3114813""]"
A2098449489,1,2.0,1,Yue Zhang,"[""10.1109/tvcg.2021.3114808""]"
A2099156760,2,39.0,0,Jian Zhang,"[""10.1109/tvcg.2021.3114761"", ""10.1109/tvcg.2021.3114865""]"
A2099699520,1,5.0,0,Richard Gee,"[""10.1109/tvcg.2021.3114819""]"
A2099747503,1,92.0,1,Yangqiu Song,"[""10.1109/tvcg.2021.3114863""]"
A2099835616,1,19.0,0,Yun Wang,"[""10.1109/tvcg.2021.3114856""]"
A2100340696,1,7.0,0,Boyang Gao,"[""10.1109/tvcg.2021.3114812""]"
A2100484092,1,7.0,0,Zhengguo Zhu,"[""10.1109/tvcg.2021.3114812""]"
A2100870245,1,26.0,0,Yuhong Li,"[""10.1109/tvcg.2021.3114781""]"
A2100961798,1,6.0,0,Benjamin Bach,"[""10.1109/tvcg.2021.3114693""]"
A2101266097,4,168.0,1,Yingcai Wu,"[""10.1109/tvcg.2021.3114781"", ""10.1109/tvcg.2021.3114790"", ""10.1109/tvcg.2021.3114806"", ""10.1109/tvcg.2021.3114861""]"
