institution_id,display_name,ror,type,country_code,country_name,world_region,city,region,latitude,longitude,homepage_url,works_count_openalex,cited_by_count_openalex,n_papers_dataset,n_authors_dataset,region_final
I100005738,Brigham Young University,https://ror.org/047rhhm47,education,US,United States,Americas,Provo,,40.23384094238281,-111.65853118896484,https://www.byu.edu,67070,3564056,4,6,North America
I100066346,University of Stuttgart,https://ror.org/04vnq7t77,education,DE,Germany,Europe,Stuttgart,,48.782318115234375,9.177020072937012,http://www.uni-stuttgart.de/home/index.en.html,150663,4957524,91,105,Europe
I100296615,École Nationale de l’Aviation Civile,https://ror.org/022zdgq74,education,FR,France,Europe,Toulouse,,43.6042594909668,1.4436700344085691,http://www.enac.fr/,3695,56574,12,7,Europe
I100532134,Université Claude Bernard Lyon 1,https://ror.org/029brtt94,education,FR,France,Europe,Villeurbanne,,45.76601028442383,4.879499912261963,http://www.univ-lyon1.fr/home-759942.kjsp,179439,15301694,2,2,Europe
I100621029,Bank of America,https://ror.org/006tvg625,other,US,United States,Americas,Charlotte,North Carolina,35.22685241699219,-80.84210968017578,https://www.bankofamerica.com/,1028,27021,1,2,North America
I100633361,University of Massachusetts Dartmouth,https://ror.org/00fzmm222,education,US,United States,Americas,New Bedford,,41.63526153564453,-70.92700958251953,https://www.umassd.edu,10235,398318,2,4,North America
I100930933,University College Dublin,https://ror.org/05m7pjf47,education,IE,Ireland,Europe,Dublin,,53.33306121826172,-6.248889923095703,https://www.ucd.ie,95998,6426217,3,4,Europe
I102134673,Linköping University,https://ror.org/05ynxx418,education,SE,Sweden,Europe,Linköping,,58.410858154296875,15.621569633483888,https://liu.se/,81832,5841931,37,45,Europe
I102149020,University of North Carolina at Charlotte,https://ror.org/04dawnj30,education,US,United States,Americas,Charlotte,,35.227088928222656,-80.84313201904297,https://www.charlotte.edu,38294,1598159,40,64,North America
I102197404,Université Paris-Sud,https://ror.org/028rypz17,education,FR,France,Europe,Orsay,,48.69572067260742,2.187269926071167,http://www.u-psud.fr/en/index.html,96267,16096523,32,23,Europe
I102322142,"Rutgers, The State University of New Jersey",https://ror.org/05vt9qd57,education,US,United States,Americas,New Brunswick,,40.48622131347656,-74.45182037353516,http://www.rutgers.edu,239368,20651669,18,23,North America
I102335020,Karlsruhe Institute of Technology,https://ror.org/04t3en479,education,DE,Germany,Europe,Karlsruhe,,49.009368896484375,8.404439926147461,https://www.kit.edu,151439,10591468,5,5,Europe
I102502594,Northern Illinois University,https://ror.org/012wxa772,education,US,United States,Americas,DeKalb,,41.92947006225586,-88.75035858154297,https://www.niu.edu,33550,2527596,3,4,North America
I102520234,TH Köln - University of Applied Sciences,https://ror.org/014nnvj65,education,DE,Germany,Europe,Cologne,,50.93470001220703,6.9877800941467285,https://www.fh-koeln.de/en/homepage_26.php,5365,100079,1,1,Europe
I103163165,Florida State University,https://ror.org/05g3dte14,education,US,United States,Americas,Tallahassee,,30.43825912475586,-84.28073120117188,https://www.fsu.edu/,105726,8126082,8,10,North America
I103406327,Western Carolina University,https://ror.org/010h78f45,education,US,United States,Americas,Cullowhee,,35.3137092590332,-83.17652893066406,https://www.wcu.edu,6284,153027,1,1,North America
