institution_id,MacroCategory,n_papers,doi_list
I-1,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/tvcg.2021.3114857""]"
I100005738,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/visual.1998.745322"", ""10.1109/visual.2002.1183801""]"
I100005738,Surgical Planning & Tomography,1,"[""10.1109/visual.1990.146390""]"
I100005738,Time Series & Temporal Patterns,1,"[""10.1109/visual.1994.346318""]"
I100066346,Dashboards & Infographics,1,"[""10.1109/tvcg.2008.119""]"
I100066346,Diffusion MRI & Tractography,4,"[""10.1109/tvcg.2010.145"", ""10.1109/tvcg.2011.193"", ""10.1109/tvcg.2013.129"", ""10.1109/tvcg.2014.2346333""]"
I100066346,Dimensionality Reduction & Multivariate Plots,31,"[""10.1109/tvcg.2009.150"", ""10.1109/tvcg.2011.226"", ""10.1109/tvcg.2012.277"", ""10.1109/tvcg.2013.186"", ""10.1109/tvcg.2013.232"", ""10.1109/tvcg.2015.2467757"", ""10.1109/tvcg.2016.2598919"", ""10.1109/tvcg.2016.2599042"", ""10.1109/tvcg.2017.2743959"", ""10.1109/tvcg.2018.2864911"", ""10.1109/tvcg.2018.2864912"", ""10.1109/tvcg.2019.2934812"", ""10.1109/tvcg.2020.3030404"", ""10.1109/tvcg.2020.3030406"", ""10.1109/tvcg.2020.3030465"", ""10.1109/tvcg.2020.3030473"", ""10.1109/tvcg.2021.3114800"", ""10.1109/tvcg.2022.3209420"", ""10.1109/tvcg.2022.3209427"", ""10.1109/tvcg.2024.3456346"", ""10.1109/vast.2012.6400492"", ""10.1109/vast.2012.6400557"", ""10.1109/vast.2014.7042495"", ""10.1109/visual.1999.809878"", ""10.1109/visual.2000.885683"", ""10.1109/visual.2000.885729"", ""10.1109/visual.2001.964512"", ""10.1109/visual.2001.964514"", ""10.1109/visual.2001.964542"", ""10.1109/visual.2002.1183812"", ""10.1109/visual.2003.1250390""]"
I100066346,Flow Fields & CFD Visualization,10,"[""10.1109/tvcg.2007.70614"", ""10.1109/tvcg.2009.157"", ""10.1109/tvcg.2010.209"", ""10.1109/tvcg.2012.282"", ""10.1109/tvcg.2012.284"", ""10.1109/tvcg.2016.2598824"", ""10.1109/tvcg.2019.2934669"", ""10.1109/tvcg.2020.3030400"", ""10.1109/tvcg.2022.3209437"", ""10.1109/tvcg.2023.3327398""]"
I100066346,Meshes & Volume Rendering,20,"[""10.1109/tvcg.2008.177"", ""10.1109/tvcg.2010.196"", ""10.1109/tvcg.2011.203"", ""10.1109/tvcg.2012.281"", ""10.1109/tvcg.2014.2346442"", ""10.1109/tvcg.2017.2743979"", ""10.1109/tvcg.2021.3114788"", ""10.1109/tvcg.2023.3326931"", ""10.1109/vast.2009.5333911"", ""10.1109/visual.1999.809918"", ""10.1109/visual.2000.885688"", ""10.1109/visual.2003.1250361"", ""10.1109/visual.2003.1250404"", ""10.1109/visual.2004.3"", ""10.1109/visual.2004.58"", ""10.1109/visual.2004.59"", ""10.1109/visual.2005.1532830"", ""10.1109/visual.2005.1532845"", ""10.1109/visual.2005.1532852"", ""10.1109/visual.2005.1532853""]"
I100066346,Surgical Planning & Tomography,6,"[""10.1109/tvcg.2014.2346319"", ""10.1109/tvcg.2020.3030420"", ""10.1109/tvcg.2020.3030467"", ""10.1109/visual.1999.809934"", ""10.1109/visual.2002.1183762"", ""10.1109/visual.2005.1532799""]"
I100066346,Time Series & Temporal Patterns,8,"[""10.1109/tvcg.2009.131"", ""10.1109/tvcg.2016.2598495"", ""10.1109/tvcg.2017.2744018"", ""10.1109/tvcg.2019.2934796"", ""10.1109/tvcg.2020.3030368"", ""10.1109/tvcg.2022.3209429"", ""10.1109/tvcg.2022.3209449"", ""10.1109/visual.2002.1183829""]"
I100066346,Twitter & Social Media,1,"[""10.1109/vast.2009.5333564""]"
I100066346,VIS Literature & Bibliometrics,10,"[""10.1109/tvcg.2012.222"", ""10.1109/tvcg.2012.276"", ""10.1109/tvcg.2013.194"", ""10.1109/tvcg.2015.2468091"", ""10.1109/tvcg.2016.2598695"", ""10.1109/tvcg.2016.2598898"", ""10.1109/tvcg.2021.3114797"", ""10.1109/vast.2016.7883520"", ""10.1109/visual.1991.175812"", ""10.1109/visual.2004.73""]"
I100296615,Diffusion MRI & Tractography,1,"[""10.1109/tvcg.2018.2864690""]"
I100296615,Dimensionality Reduction & Multivariate Plots,9,"[""10.1109/tvcg.2009.145"", ""10.1109/tvcg.2011.223"", ""10.1109/tvcg.2011.233"", ""10.1109/tvcg.2015.2467112"", ""10.1109/tvcg.2016.2598958"", ""10.1109/tvcg.2017.2744338"", ""10.1109/tvcg.2018.2865191"", ""10.1109/tvcg.2019.2934805"", ""10.1109/vast.2011.6102454""]"
I100296615,Flow Fields & CFD Visualization,2,"[""10.1109/tvcg.2019.2934783"", ""10.1109/tvcg.2020.3030435""]"
I100532134,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/vast.2006.261431"", ""10.1109/vast.2009.5333248""]"
I100621029,Dimensionality Reduction & Multivariate Plots,1,"[""10.1109/vast.2007.4389009""]"
I100633361,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2017.2744458"", ""10.1109/tvcg.2018.2865039""]"
I100930933,Dimensionality Reduction & Multivariate Plots,2,"[""10.1109/tvcg.2006.168"", ""10.1109/tvcg.2008.160""]"
I100930933,Meshes & Volume Rendering,1,"[""10.1109/tvcg.2008.143""]"
I102134673,Diffusion MRI & Tractography,8,"[""10.1109/tvcg.2010.195"", ""10.1109/tvcg.2011.161"", ""10.1109/tvcg.2011.211"", ""10.1109/tvcg.2012.232"", ""10.1109/tvcg.2014.2346351"", ""10.1109/tvcg.2015.2467294"", ""10.1109/tvcg.2016.2598430"", ""10.1109/tvcg.2020.3030344""]"
I102134673,Dimensionality Reduction & Multivariate Plots,13,"[""10.1109/scivis.2015.7429487"", ""10.1109/tvcg.2006.146"", ""10.1109/tvcg.2007.70518"", ""10.1109/tvcg.2009.117"", ""10.1109/tvcg.2011.224"", ""10.1109/tvcg.2012.203"", ""10.1109/tvcg.2012.206"", ""10.1109/tvcg.2012.237"", ""10.1109/tvcg.2018.2864816"", ""10.1109/tvcg.2022.3209451"", ""10.1109/visual.2002.1183797"", ""10.1109/visual.2004.102"", ""10.1109/visual.2005.1532823""]"
