topic_id,topic_name,macro_id,macro_name,count
4,Deep Learning & Neural Networks,0,AI & Immersive Interaction,139
15,Augmented Reality & Immersive Environments,0,AI & Immersive Interaction,70
23,Sketching & Creative Literacy,0,AI & Immersive Interaction,50
27,Narrative Visualization & Storytelling,0,AI & Immersive Interaction,43
6,Hierarchical Data & Treemaps,1,Volume Rendering & Hierarchical Data,134
9,Direct Volume Rendering & Ray Tracing,1,Volume Rendering & Hierarchical Data,113
24,Medical Imaging (MRI & DTI),1,Volume Rendering & Hierarchical Data,50
28,Bibliometrics & Citation Analysis,1,Volume Rendering & Hierarchical Data,38
0,Mesh Generation & Surface Reconstruction,2,Geometry Processing & Analytics,729
2,Causal Inference & Analytics,2,Geometry Processing & Analytics,286
7,Text Mining & Topic Modeling,2,Geometry Processing & Analytics,123
8,Ensemble Simulation & Parameter Space,2,Geometry Processing & Analytics,114
19,Vascular & Blood Flow Visualization,2,Geometry Processing & Analytics,54
3,Parallel Coordinates & Multidimensional Data,3,High-Dimensional & Molecular Vis,186
11,Molecular Dynamics & Chemistry,3,High-Dimensional & Molecular Vis,110
13,InfoVis & Sensemaking,3,High-Dimensional & Molecular Vis,91
1,Flow Visualization & CFD,4,Flow Dynamics & Temporal Analysis,366
12,Haptic Interfaces & Feedback,4,Flow Dynamics & Temporal Analysis,93
22,Time Series & Temporal Patterns,4,Flow Dynamics & Temporal Analysis,50
16,Geospatial & Earth Science,5,Geospatial & Perceptual Studies,62
17,Graphics Systems & Frameworks,5,Geospatial & Perceptual Studies,58
26,Eye Tracking & Graphical Perception,5,Geospatial & Perceptual Studies,45
25,Network Security & Anomaly Detection,6,Security & Anomaly Detection,47
18,Volumetric Shadows & Illumination,7,Advanced Volume Illumination,57
10,Topological Features & Contour Trees,8,Topological Data Analysis,111
14,Database Interfaces & Exploration,9,Data Management & Interfaces,71
5,Multi-Projector & Camera Calibration,10,Display Calibration & Tensor Fields,137
21,Tensor Field Topology,10,Display Calibration & Tensor Fields,51
20,Wavelet Transforms & Multiresolution,11,Multiresolution & Wavelets,52
