year,title,awards,awardsLabels,hasGraphicsReplicabilityStamp
2024,KNowNEt:Guided Health Information Seeking from LLMs via Knowledge Graph Integration,['HM'],['Honorable Mention'],False
2024,When Refreshable Tactile Displays Meet Conversational Agents: Investigating Accessible Data Presentation and Analysis with Touch and Speech,['HM'],['Honorable Mention'],False
2024,VisEval: A Benchmark for Data Visualization in the Era of Large Language Models,['BP'],['Best Paper'],False
2024,AdversaFlow: Visual Red Teaming for Large Language Models with Multi-Level Adversarial Flow,['HM'],['Honorable Mention'],False
2024,Entanglements for Visualization: Changing Research Outcomes through Feminist Theory,['BP'],['Best Paper'],False
2024,"Aardvark: Composite Visualizations of Trees, Time-Series, and Images",['BP'],['Best Paper'],False
2024,Manipulable Semantic Components: A Computational Representation of Data Visualization Scenes,['HM'],['Honorable Mention'],False
2024,Talk to the Wall: The Role of Speech Interaction in Collaborative Visual Analytics,['HM'],['Honorable Mention'],True
2024,VADIS: A Visual Analytics Pipeline for Dynamic Document Representation and Information-Seeking,['BP'],['Best Paper'],False
2024,“I Came Across a Junk”: Understanding Design Flaws of Data Visualization from the Public's Perspective,['HM'],['Honorable Mention'],False
2024,PREVis: Perceived Readability Evaluation for Visualizations,['HM'],['Honorable Mention'],True
2024,Beyond Correlation: Incorporating Counterfactual Guidance to Better Support Exploratory Visual Analysis,['HM'],['Honorable Mention'],False
2024,Rapid and Precise Topological Comparison with Merge Tree Neural Networks,['BP'],['Best Paper'],False
2024,Touching the Ground: Evaluating the Effectiveness of Data Physicalizations for Spatial Data Analysis Tasks,['HM'],['Honorable Mention'],False
2024,Learnable and Expressive Visualization Authoring Through Blended Interfaces,['HM'],['Honorable Mention'],False
2024,Visual Support for the Loop Grafting Workflow on Proteins,['HM'],['Honorable Mention'],False
2024,From Instruction to Insight: Exploring the Functional and Semantic Roles of Text in Interactive Dashboards,['HM'],['Honorable Mention'],False
2024,Dynamic Color Assignment for Hierarchical Data,['HM'],['Honorable Mention'],False
2024,CataAnno: An Ancient Catalog Annotator for Annotation Cleaning by Recommendation,['HM'],['Honorable Mention'],False
2023,ManiVault: A Flexible and Extensible Visual Analytics Framework for High-Dimensional Data,['HM'],['Honorable Mention'],False
2023,"PROWIS: A Visual Approach for Building, Managing, and Analyzing Weather Simulation Ensembles at Runtime",['HM'],['Honorable Mention'],False
2023,Visualization of Discontinuous Vector Field Topology,['BP'],['Best Paper'],False
2023,Fast Compressed Segmentation Volumes for Scientific Visualization,['BP'],['Best Paper'],False
2023,Data Formulator: AI-Powered Concept-Driven Visualization Authoring,['HM'],['Honorable Mention'],False
2023,Extract and Characterize Hairpin Vortices in Turbulent Flows,['HM'],['Honorable Mention'],False
2023,"Enthusiastic and Grounded, Avoidant and Cautious: Understanding Public Receptivity to Data and Visualizations",['HM'],['Honorable Mention'],False
2023,InnovationInsights: A Visual Analytics Approach for Understanding the Dual Frontiers of Science and Technology,['HM'],['Honorable Mention'],False
2023,TimeSplines: Sketch-Based Authoring of Flexible and Idiosyncratic Timelines,['BP'],['Best Paper'],False
2023,Dr. KID: Direct Remeshing and K-Set Isometric Decomposition for Scalable Physicalization of Organic Shapes,['HM'],['Honorable Mention'],False
2023,Average Estimates in Line Graphs Are Biased Toward Areas of Higher Variability,['HM'],['Honorable Mention'],False
2023,Vortex Lens: Interactive Vortex Core Line Extraction using Observed Line Integral Convolution,['BP'],['Best Paper'],False
2023,A Computational Design Pipeline to Fabricate Sensing Network Physicalizations,['HM'],['Honorable Mention'],False
2023,Affective Visualization Design: Leveraging the Emotional Impact of Data,['BP'],['Best Paper'],False
2023,"Swaying the Public? Impacts of Election Forecast Visualizations on Emotion, Trust, and Intention in the 2022 U.S. Midterms",['BP'],['Best Paper'],False
2023,Dead or Alive: Continuous Data Profiling for Interactive Data Science,['HM'],['Honorable Mention'],False
2023,CLAMS: A Cluster Ambiguity Measure for Estimating Perceptual Variability in Visual Clustering,['HM'],['Honorable Mention'],False
2023,ARGUS: Visualization of AI-Assisted Task Guidance in AR,['HM'],['Honorable Mention'],False
2023,Merge Tree Geodesics and Barycenters with Path Mappings,['HM'],['Honorable Mention'],False
