MacroCategory,TopicId,TopicShort,papers
Dashboards & Infographics,20,Eye Tracking & Gaze Analysis,52
Diffusion MRI & Tractography,6,Computational Topology & Contour Trees,134
Diffusion MRI & Tractography,18,Dashboards & Infographics,57
Diffusion MRI & Tractography,24,Visualization Design & Perception,50
Dimensionality Reduction & Multivariate Plots,0,Mesh Simplification & Surface Reconstruction,729
Dimensionality Reduction & Multivariate Plots,2,Flow Fields & Vortices (CFD),286
Dimensionality Reduction & Multivariate Plots,5,Multi-Projector & High-Res Displays,137
Dimensionality Reduction & Multivariate Plots,7,Molecular Volume Rendering,123
Dimensionality Reduction & Multivariate Plots,8,Diffusion MRI & Tractography,114
Dimensionality Reduction & Multivariate Plots,9,Weather Forecast Visualization,113
Dimensionality Reduction & Multivariate Plots,14,NLP & Question Answering,71
Dimensionality Reduction & Multivariate Plots,19,Colormaps & Color Perception,54
Dimensionality Reduction & Multivariate Plots,21,Tensor Field Topology,51
Dimensionality Reduction & Multivariate Plots,28,Illustrative Volume Rendering,38
Flow Fields & CFD Visualization,11,Twitter & Social Media,110
Flow Fields & CFD Visualization,13,Sports Pattern Mining,91
Flow Fields & CFD Visualization,15,IEEE VIS Bibliometrics,70
Flow Fields & CFD Visualization,22,Line Charts & Temporal Patterns,50
Meshes & Volume Rendering,1,Direct Volume Rendering & Ray Casting,366
Meshes & Volume Rendering,12,Unstructured Tetrahedral Volume Rendering,93
Surgical Planning & Tomography,4,Surgical Planning & Tomography,139
Surgical Planning & Tomography,27,Financial Monitoring & Anomaly Detection,43
Time Series & Temporal Patterns,3,Dimensionality Reduction & Scatterplots,186
Time Series & Temporal Patterns,23,Gene Expression & Genomics,50
Twitter & Social Media,10,Sensemaking & Provenance,111
Ultrasound Volume Rendering & Segmentation,25,Narrative Visualization & Storytelling,47
VIS Literature & Bibliometrics,16,Treemaps & Tree Layouts,62
VIS Literature & Bibliometrics,17,Immersive Analytics (AR/VR),58
VIS Literature & Bibliometrics,26,Cell Imaging & Machine Learning,45
